Generated by pymatgen.io.lammps.data.LammpsData

5250  atoms

   4  atom types

0.000000 39.407352  xlo xhi
0.000000 39.308664  ylo yhi
0.000000 52.924087  zlo zhi
-19.196134 1.815964 -15.916758  xy xz yz

Masses

1   6.941000
2  54.938045
3  78.960000
4  15.999400

Atoms

122   4 -0.3206  -0.762256   7.320460  6.024448
123   4 -0.3206   1.642979  10.328529  2.179293
124   4 -0.3206   5.334436   7.242622  1.551736
125   4 -0.3206   4.152250   5.062225  2.428603
126   4 -0.3206   2.963377   4.467505  6.099098
127   4 -0.3206   1.953235   7.152252  5.859034
128   4 -0.3206   4.056360   3.409660  0.267767
129   4 -0.3206   5.544846   8.884378  3.931168
130   4 -0.3206   4.355495   8.221550  6.689255
131   4 -0.3206   4.039305   9.815737  1.421194
132   4 -0.3206   3.120152  10.809707  6.623968
133   4 -0.3206   0.208271   6.524670  1.386538
134   4 -0.3206   1.744700   5.449493  3.731805
135   4 -0.3206   5.453353   4.019128  4.637101
136   4 -0.3206   0.728657  11.467159  8.053865
137   4 -0.3206   0.792553   6.368516  8.244761
138   4 -0.3206   3.396681   6.130567  8.274910
139   2  1.3600   6.494352   4.542411  1.545206
140   1  0.5250   6.413402  10.655560  2.186138
141   3 -0.3206   2.011037   3.837199  8.422392
142   4 -0.3206   4.717228   3.655229  8.215976
143   1  0.5250  -0.473774   8.925438  8.317372
144   3 -0.3206  -0.624831   3.874152  8.314506
145   4 -0.3206   6.772508   6.225629  3.899045
146   2  1.3600   4.294017  11.515090  3.955768
147   3 -0.3206   1.521186   8.606459  0.178906
148   4 -0.3206  -8.558839  17.791575  6.057957
149   4 -0.3206  25.810173  15.321896  9.969765
150   4 -0.3206   7.023180   8.032933  6.452669
151   2  1.3600   7.924306   3.523413  3.917408
152   1  0.5250  14.326411  11.205788  2.961458
153   1  0.5250  13.785417  10.481566  6.838184
154   2  1.3600  11.832954   6.683847  4.450984
155   2  1.3600   9.696845   8.190346  6.661761
156   2  1.3600   7.891242   9.386828  4.510515
157   3 -0.3206   7.650179   7.991962  2.202215
158   3 -0.3206  10.414009   7.874369  2.185128
159   3 -0.3206  14.162261   9.684573  0.805058
160   3 -0.3206  13.537393   5.384770  6.922408
161   3 -0.3206   8.320499   5.338734  6.512500
162   4 -0.3206  10.667459   9.242023  4.434421
163   4 -0.3206  28.621586  11.771528 12.131399
164   4 -0.3206   9.087251  10.464284  2.176957
165   4 -0.3206  13.135718   7.587047  2.371369
166   4 -0.3206  11.659585   5.235238  2.194520
167   4 -0.3206  10.368648   4.180731  4.502777
168   4 -0.3206   9.249607   6.761735  4.464137
169   4 -0.3206  13.391351   9.154099  4.425569
170   4 -0.3206  12.411187   8.145625  6.768370
171   4 -0.3206  11.829663  10.280333  2.213488
172   4 -0.3206  10.934285  10.724871  6.742594
173   4 -0.3206  24.455498  12.768851 16.746363
174   4 -0.3206   9.032768   5.419146  2.204458
175   4 -0.3206  13.094635   4.220134  4.514851
176   4 -0.3206   8.394110  10.808635  6.859769
177   4 -0.3206  10.894350   5.644876  6.731152
178   2  1.3600  14.354757   4.978571  2.117413
179   4 -0.3206  14.513507   6.488565  4.595844
180   4 -0.3206  14.955949   7.836731  6.830492
181   1  0.5250   7.382661   9.520862  8.970340
182   1  0.5250  18.247849   3.329509  3.035794
183   2  1.3600  15.884610   3.915958  4.478481
184   4 -0.3206  20.033511   3.478231  7.425859
185   3 -0.3206  16.187527   5.262314  6.871978
186   4 -0.3206  15.529529   6.937453  0.679465
187   4 -0.3206  16.881819   5.889166  2.890557
188   1  0.5250  22.631171  10.620262  3.016302
189   1  0.5250  21.248715   9.985988  5.412129
190   1  0.5250  16.844983   4.286904  0.791082
191   2  1.3600  19.887854   6.934217  5.132300
192   2  1.3600  17.585556   8.618357  7.480475
193   2  1.3600  15.993789   9.756266  5.233084
194   2  1.3600  19.892111  11.145775  3.136553
195   2  1.3600  22.245522   4.168638  0.770031
196   3 -0.3206  15.667415   8.550985  2.910788
197   3 -0.3206  16.776383   9.385163  0.661136
198   3 -0.3206  18.247631   8.137222  2.869564
199   3 -0.3206  22.313989   9.112020  0.687061
200   3 -0.3206  21.510160   5.736903  7.276985
201   4 -0.3206  18.713032   9.562344  5.065363
202   4 -0.3206  18.220193   6.771759  0.608504
203   4 -0.3206  17.107836  10.773082  2.838302
204   4 -0.3206  20.938914   6.828285  0.673628
205   4 -0.3206  19.667126   5.620792  2.779550
206   4 -0.3206  18.425951   4.717024  5.218629
207   4 -0.3206  17.149200   7.249091  5.152271
208   4 -0.3206  19.644677   4.199422  0.493641
209   4 -0.3206  22.334903   5.827085  2.958521
210   4 -0.3206  20.973760   8.406317  3.080410
211   4 -0.3206  20.117326   8.299954  7.294997
212   4 -0.3206  19.516484   9.436754  0.828149
213   4 -0.3206  18.813450  10.887878  7.237602
214   4 -0.3206  21.237198   4.486774  4.955488
215   4 -0.3206  22.412255   7.391816  5.401128
216   4 -0.3206  16.250463  11.256852  7.482320
217   4 -0.3206  18.815380   5.950960  7.639676
218   1  0.5250  22.685925   9.019731  7.645019
219   4 -0.3206  30.699081   3.354924  7.418015
220   2  1.3600  23.685801   3.283161  3.194331
221   3 -0.3206  23.708958   4.906430  5.481213
222   4 -0.3206  23.786937   6.522980  0.735989
223   4 -0.3206  25.084392   5.672081  3.049680
224   1  0.5250  29.327246  10.575926  6.150919
225   1  0.5250  25.013716   3.835888  0.817617
226   2  1.3600  27.907739   6.852866  5.331659
227   2  1.3600  25.359125   8.883433  7.695388
228   2  1.3600  24.051820   9.697087  5.223852
229   2  1.3600  30.229089   4.866000  1.494525
230   3 -0.3206  23.752473   8.042363  2.953419
231   3 -0.3206  25.035882   9.074238  0.834044
232   3 -0.3206  26.517233   7.838702  3.023358
233   3 -0.3206  25.325969   3.790382  7.645754
234   3 -0.3206  30.290296   9.912292  1.571677
235   3 -0.3206  29.613189   5.796720  7.373046
236   4 -0.3206  26.702030   9.618432  5.257539
237   4 -0.3206  26.499374   6.333280  0.690512
238   4 -0.3206  25.404553  10.512302  2.993303
239   4 -0.3206  28.024941   3.499257  7.516545
240   4 -0.3206  28.833631   7.476379  1.624768
241   4 -0.3206  27.828473   5.296541  3.006362
242   4 -0.3206  26.275262   4.584927  5.233135
243   4 -0.3206  25.143462   7.225280  5.365485
244   4 -0.3206  27.799199   3.742031  0.742766
245   4 -0.3206  30.372748   6.382742  3.806400
246   4 -0.3206  29.055776   8.900891  3.894249
247   4 -0.3206  28.137252   8.505967  7.454670
248   4 -0.3206  27.736391  10.135847  1.637888
249   4 -0.3206  26.918318  11.173642  7.590664
250   4 -0.3206  29.186744   4.367453  5.185349
251   4 -0.3206  30.355972   8.008927  6.105512
252   4 -0.3206  24.142234   6.412626  7.755755
253   4 -0.3206  26.824242   6.130160  7.616947
254   2  1.3600  31.621015   3.899763  3.852322
255   1  0.5250  30.666208   9.574307  8.360082
256   4 -0.3206  31.475351   7.256244  1.537272
257   4 -0.3206  24.175564  11.397323  7.448051
258   2  1.3600  35.808267   5.971421  3.779571
259   1  0.5250  34.316593   3.580141  3.865492
260   4 -0.3206  36.954205   3.314946  3.725684
261   3 -0.3206  32.068012   5.332120  6.101342
262   4 -0.3206  33.252353   6.226412  3.803644
263   1  0.5250  32.939476   4.606993  1.584472
264   2  1.3600  31.938988  10.212413  6.030005
265   3 -0.3206  31.724089   8.718688  3.725020
266   3 -0.3206  34.287707   6.975576  1.494012
267   4 -0.3206  34.526842   8.594349  3.771355
268   4 -0.3206  33.084812   9.518726  1.471746
269   4 -0.3206  35.575859   4.299928  1.537525
270   4 -0.3206  34.641897   5.056711  6.169747
271   4 -0.3206  33.234715   7.853983  6.053401
272   4 -0.3206  33.191955  11.062819  3.778125
273   2  1.3600  33.476757   9.441861  8.190777
274   3 -0.3206  33.321703   4.471607  8.437676
275   4 -0.3206  36.164951   4.206766  8.381792
276   4 -0.3206  34.703327   6.811384  8.360914
277   4 -0.3206  31.988246   6.961102  8.358994
278   1  0.5250  -4.579411  18.525064  3.614606
279   1  0.5250  -5.826595  17.654540  5.906202
280   1  0.5250  -2.248986  11.564057  1.367516
281   2  1.3600  -4.893842  11.802371  1.428518
282   3 -0.3206  -3.341781  15.862063  3.611249
283   3 -0.3206  -2.395742  16.442152  0.128789
284   3 -0.3206  -1.874793  11.579237  8.163079
285   3 -0.3206  -4.655992  17.042475  1.334149
286   3 -0.3206  -6.053313  12.759511  6.062644
287   3 -0.3206  -3.324231  12.546405  5.830004
288   4 -0.3206  -4.561439  15.069736  5.950765
289   4 -0.3206  -2.253403  18.047658  2.299121
290   4 -0.3206  -4.736955  13.434211  3.756914
291   4 -0.3206  -6.084048  16.198834  3.780070
292   4 -0.3206  -7.290511  15.338570  6.042566
293   4 -0.3206  -7.506959  17.228000  1.520936
294   4 -0.3206  -3.464447  14.228387  1.432185
295   4 -0.3206  -2.034168  13.270494  3.426022
296   2  1.3600  -1.577587  16.540966  7.964039
297   4 -0.3206  -1.708449  14.796523  5.723632
298   4 -0.3206  -6.130096  14.692512  1.452906
299   4 -0.3206  -3.729044  19.087009  0.168450
300   4 -0.3206  -3.079822  14.149996  8.165755
301   2  1.3600  -3.166357  17.439068  5.891004
302   1  0.5250  -4.273535  16.674799  8.107705
303   4 -0.3206  -7.152909  16.894278  8.276436
304   3 -0.3206  -4.503344  11.723037  8.226878
305   4 -0.3206  -5.911800  14.225397  8.291999
306   3 -0.3206  28.697081  13.429053 14.352236
307   4 -0.3206  -0.585631  12.353158  5.764945
308   3 -0.3206  29.569157  13.698962 10.654060
309   2  1.3600   0.427666  14.457449  4.208252
310   2  1.3600   5.992744  15.961629  6.796678
311   2  1.3600   2.801086  12.577957  1.417111
312   3 -0.3206   3.866123  16.074433  2.064540
313   4 -0.3206  27.409850  12.467723 16.627553
314   3 -0.3206  -1.014707  15.379684  2.116379
315   4 -0.3206  29.999355  12.371847 16.736915
316   3 -0.3206   1.895801  13.474730  6.558293
317   3 -0.3206   4.558031  13.192687  6.455109
318   4 -0.3206  -0.846725  16.906159  4.390567
319   4 -0.3206   3.150912  15.916896  6.339658
320   4 -0.3206   5.353718  18.295596  2.095293
321   4 -0.3206   1.477680  15.104298  1.575420
322   4 -0.3206   0.300505  12.762519  2.206848
323   4 -0.3206   5.501322  14.612078  4.488842
324   4 -0.3206   3.006651  14.212099  3.953970
325   4 -0.3206   1.709870  16.911891  3.802911
326   4 -0.3206   0.660745  15.948032  6.597895
327   4 -0.3206   0.267736  17.692180  1.434216
328   3 -0.3206  27.376579  14.282427 12.217811
329   4 -0.3206   5.155826  13.348346  2.215659
330   4 -0.3206   1.723637  11.781942  4.367618
331   4 -0.3206  24.561699  14.596437 12.166538
332   4 -0.3206  -0.507318  13.981862  8.042366
333   1  0.5250   2.673294  18.667224  2.134601
334   2  1.3600   4.375981  17.282564  4.413248
335   4 -0.3206  25.806578  12.018554 12.074310
336   3 -0.3206   6.733554  15.655132  2.110960
337   4 -0.3206  25.924214  13.522600 14.400027
338   4 -0.3206  29.685062  15.560314 12.919115
339   3 -0.3206   6.043706  12.102479  8.968523
340   2  1.3600  12.095903  11.680421  4.564666
341   4 -0.3206  23.208101  15.506041  9.842233
342   4 -0.3206   9.369760  11.850365  4.460047
343   4 -0.3206   6.702703  12.232687  4.433561
344   1  0.5250  12.965380  12.171158  0.661159
345   4 -0.3206  14.663526  12.483348  5.234908
346   4 -0.3206   6.930065  17.062011  4.530373
347   4 -0.3206   7.250023  13.195335  6.896309
348   2  1.3600   8.281150  14.432884  4.382821
349   2  1.3600  13.747218  16.455088  7.615003
350   2  1.3600  10.649799  12.754895  2.187387
351   3 -0.3206  11.888762  16.038331  2.833487
352   3 -0.3206  13.074888  17.338919  0.445645
353   3 -0.3206  14.590827  16.029293  2.725463
354   3 -0.3206  10.377692  17.432578  0.629449
355   3 -0.3206   9.821995  13.333686  6.671845
356   3 -0.3206  12.486775  13.037018  6.868826
357   4 -0.3206  14.861330  17.273594  5.032101
358   4 -0.3206  14.571015  14.575607  0.625911
359   4 -0.3206  11.156432  15.758673  6.691692
360   4 -0.3206  13.300224  18.592218  2.753817
361   4 -0.3206   9.391119  15.435725  2.070988
362   4 -0.3206   7.914249  13.076068  2.006495
363   4 -0.3206  13.471013  15.097525  5.272665
364   4 -0.3206  10.885503  14.244079  4.392465
365   4 -0.3206   9.593357  16.905746  4.350823
366   4 -0.3206   8.503177  15.816926  6.716758
367   4 -0.3206   8.107787  18.119026  2.074736
368   4 -0.3206  11.816444  14.778678  0.645982
369   4 -0.3206  13.182117  13.646208  2.990131
370   2  1.3600  12.242485  17.578582  5.032432
371   4 -0.3206  21.879008  14.888031 12.273545
372   4 -0.3206  18.205106  13.140237 14.555391
373   4 -0.3206  14.993122  13.886971  7.441310
374   1  0.5250  17.460433  17.965930  5.518655
375   1  0.5250  18.801064  18.512311  3.094414
376   4 -0.3206  15.708995  11.971906  0.633105
377   3 -0.3206  21.464506  11.750978  7.723412
378   4 -0.3206  21.451452  18.356292  3.033945
379   4 -0.3206  22.936019  13.933356  7.475582
380   1  0.5250  21.168315  11.760754  0.779832
381   4 -0.3206  22.693955  12.267936  5.219745
382   1  0.5250  18.990984  16.957591  7.748268
383   2  1.3600  16.213790  14.613746  5.038219
384   2  1.3600  21.716978  16.564766  7.734784
385   2  1.3600  18.505344  12.028912  0.835395
386   3 -0.3206  20.129209  16.007799  3.102653
387   3 -0.3206  21.306174  16.778678  0.675234
388   3 -0.3206  22.755590  15.782351  3.041998
389   3 -0.3206  18.618393  16.917429  0.812109
390   3 -0.3206  17.664676  13.481742  7.089822
391   3 -0.3206  20.004867  12.604131  5.699132
392   4 -0.3206  22.798147  17.304854  5.322465
393   4 -0.3206  22.554732  14.194391  0.802468
394   4 -0.3206  18.841212  15.366288  5.473937
395   4 -0.3206  17.227530  14.373936  0.777834
396   4 -0.3206  15.833353  13.430769  2.851939
397   4 -0.3206  21.565793  14.929700  5.483359
398   4 -0.3206  18.558625  13.623299  3.204207
399   4 -0.3206  17.360726  16.194459  3.119899
400   4 -0.3206  16.522355  16.157158  7.157036
401   4 -0.3206  15.831118  17.251901  0.632187
