Generated by pymatgen.io.lammps.data.LammpsData

5250  atoms

   4  atom types

0.000000 38.499960  xlo xhi
0.000000 38.403545  ylo yhi
0.000000 51.705460  zlo zhi
-18.754125 1.774150 -15.550260  xy xz yz

Masses

1   6.941000
2  54.938045
3  78.960000
4  15.999400

Atoms

125   1  0.5250  21.290348  19.568241 50.977416
126   1  0.5250   3.095544   2.893726  4.299133
127   1  0.5250   3.450374  -0.216326 14.640225
128   1  0.5250   3.805204  -3.326378 24.981317
129   1  0.5250   4.160034  -6.436430 35.322409
130   1  0.5250   4.514864  -9.546482 45.663501
131   1  0.5250  -0.655281  10.574435  4.299133
132   1  0.5250  -0.300451   7.464383 14.640225
133   1  0.5250   0.054379   4.354331 24.981317
134   1  0.5250   0.409209   1.244279 35.322409
135   1  0.5250   0.764039  -1.865773 45.663501
136   1  0.5250  -4.406106  18.255144  4.299133
137   1  0.5250  -4.051276  15.145092 14.640225
138   1  0.5250  -3.696446  12.035040 24.981317
139   1  0.5250  -3.341616   8.924988 35.322409
140   1  0.5250  -2.986786   5.814936 45.663501
141   1  0.5250  -8.156931  25.935853  4.299133
142   1  0.5250  -7.802101  22.825801 14.640225
143   1  0.5250  -7.447271  19.715749 24.981317
144   1  0.5250  -7.092441  16.605697 35.322409
145   1  0.5250  -6.737611  13.495645 45.663501
146   1  0.5250 -11.907756  33.616562  4.299133
147   1  0.5250 -11.552926  30.506510 14.640225
148   1  0.5250 -11.198096  27.396458 24.981317
149   1  0.5250 -10.843266  24.286406 35.322409
150   1  0.5250 -10.488436  21.176354 45.663501
151   1  0.5250  10.795536   2.893726  4.299133
152   1  0.5250  11.150366  -0.216326 14.640225
153   1  0.5250  11.505196  -3.326378 24.981317
154   1  0.5250  11.860026  -6.436430 35.322409
155   1  0.5250  12.214856  -9.546482 45.663501
156   1  0.5250   7.044711  10.574435  4.299133
157   1  0.5250   7.399541   7.464383 14.640225
158   1  0.5250   7.754371   4.354331 24.981317
159   1  0.5250   8.109201   1.244279 35.322409
160   1  0.5250   8.464031  -1.865773 45.663501
161   1  0.5250   3.293886  18.255144  4.299133
162   1  0.5250   3.648716  15.145092 14.640225
163   1  0.5250   4.003546  12.035040 24.981317
164   1  0.5250   4.358376   8.924988 35.322409
165   1  0.5250   4.713206   5.814936 45.663501
166   1  0.5250  -0.456939  25.935853  4.299133
167   1  0.5250  -0.102109  22.825801 14.640225
168   1  0.5250   0.252721  19.715749 24.981317
169   1  0.5250   0.607551  16.605697 35.322409
170   1  0.5250   0.962381  13.495645 45.663501
171   1  0.5250  -4.207764  33.616562  4.299133
172   1  0.5250  -3.852934  30.506510 14.640225
173   1  0.5250  -3.498104  27.396458 24.981317
174   1  0.5250  -3.143274  24.286406 35.322409
175   1  0.5250  -2.788444  21.176354 45.663501
176   1  0.5250  18.495528   2.893726  4.299133
177   1  0.5250  18.850358  -0.216326 14.640225
178   1  0.5250  19.205188  -3.326378 24.981317
179   1  0.5250  19.560018  -6.436430 35.322409
180   1  0.5250  19.914848  -9.546482 45.663501
181   1  0.5250  14.744703  10.574435  4.299133
182   1  0.5250  15.099533   7.464383 14.640225
183   1  0.5250  15.454363   4.354331 24.981317
184   1  0.5250  15.809193   1.244279 35.322409
185   1  0.5250  16.164023  -1.865773 45.663501
186   1  0.5250  10.993878  18.255144  4.299133
187   1  0.5250  11.348708  15.145092 14.640225
188   1  0.5250  11.703538  12.035040 24.981317
189   1  0.5250  12.058368   8.924988 35.322409
190   1  0.5250  12.413198   5.814936 45.663501
191   1  0.5250   7.243053  25.935853  4.299133
192   1  0.5250   7.597883  22.825801 14.640225
193   1  0.5250   7.952713  19.715749 24.981317
194   1  0.5250   8.307543  16.605697 35.322409
195   1  0.5250   8.662373  13.495645 45.663501
196   1  0.5250   3.492228  33.616562  4.299133
197   1  0.5250   3.847058  30.506510 14.640225
198   1  0.5250   4.201888  27.396458 24.981317
199   1  0.5250   4.556718  24.286406 35.322409
200   1  0.5250   4.911548  21.176354 45.663501
201   1  0.5250  26.195520   2.893726  4.299133
202   1  0.5250  26.550350  -0.216326 14.640225
203   1  0.5250  26.905180  -3.326378 24.981317
204   1  0.5250  27.260010  -6.436430 35.322409
205   1  0.5250  27.614840  -9.546482 45.663501
