Generated by pymatgen.io.lammps.data.LammpsData

3584  atoms

   4  atom types

0.000000 32.758555  xlo xhi
0.000000 32.758520  ylo yhi
0.000000 32.758651  zlo zhi
-0.000139 -0.000011 -0.000047  xy xz yz

Masses

1   6.9410
2  58.6934
3  72.6400
4  15.9994

Atoms

127   1  0.5250 26.643919 26.588546 22.549289
128   1  0.5250 26.643916 26.588534 30.738952
129   1  0.5250  6.169970  2.075152  2.019670
130   1  0.5250  6.169967  2.075140 10.209332
131   1  0.5250  6.169965  2.075129 18.398995
132   1  0.5250  6.169962  2.075117 26.588658
133   1  0.5250  6.169935 10.264782  2.019670
134   1  0.5250  6.169932 10.264770 10.209332
135   1  0.5250  6.169930 10.264758 18.398995
136   1  0.5250  6.169927 10.264747 26.588658
137   1  0.5250  6.169900 18.454412  2.019670
138   1  0.5250  6.169898 18.454400 10.209332
139   1  0.5250  6.169895 18.454388 18.398995
140   1  0.5250  6.169892 18.454377 26.588658
141   1  0.5250  6.169865 26.644042  2.019670
142   1  0.5250  6.169863 26.644030 10.209332
143   1  0.5250  6.169860 26.644018 18.398995
144   1  0.5250  6.169857 26.644006 26.588658
145   1  0.5250 14.359609  2.075152  2.019670
146   1  0.5250 14.359606  2.075140 10.209332
147   1  0.5250 14.359603  2.075129 18.398995
148   1  0.5250 14.359601  2.075117 26.588658
149   1  0.5250 14.359574 10.264782  2.019670
150   1  0.5250 14.359571 10.264770 10.209332
151   1  0.5250 14.359568 10.264758 18.398995
152   1  0.5250 14.359566 10.264747 26.588658
153   1  0.5250 14.359539 18.454412  2.019670
154   1  0.5250 14.359536 18.454400 10.209332
155   1  0.5250 14.359534 18.454388 18.398995
156   1  0.5250 14.359531 18.454377 26.588658
157   1  0.5250 14.359504 26.644042  2.019670
158   1  0.5250 14.359501 26.644030 10.209332
159   1  0.5250 14.359499 26.644018 18.398995
160   1  0.5250 14.359496 26.644006 26.588658
161   1  0.5250 22.549248  2.075152  2.019670
162   1  0.5250 22.549245  2.075140 10.209332
163   1  0.5250 22.549242  2.075129 18.398995
164   1  0.5250 22.549239  2.075117 26.588658
165   1  0.5250 22.549213 10.264782  2.019670
166   1  0.5250 22.549210 10.264770 10.209332
167   1  0.5250 22.549207 10.264758 18.398995
168   1  0.5250 22.549205 10.264747 26.588658
169   1  0.5250 22.549178 18.454412  2.019670
170   1  0.5250 22.549175 18.454400 10.209332
171   1  0.5250 22.549172 18.454388 18.398995
172   1  0.5250 22.549170 18.454377 26.588658
173   1  0.5250 22.549143 26.644042  2.019670
174   1  0.5250 22.549140 26.644030 10.209332
175   1  0.5250 22.549138 26.644018 18.398995
176   1  0.5250 22.549135 26.644006 26.588658
177   1  0.5250 30.738886  2.075152  2.019670
178   1  0.5250 30.738884  2.075140 10.209332
179   1  0.5250 30.738881  2.075129 18.398995
180   1  0.5250 30.738878  2.075117 26.588658
181   1  0.5250 30.738851 10.264782  2.019670
182   1  0.5250 30.738849 10.264770 10.209332
183   1  0.5250 30.738846 10.264758 18.398995
184   1  0.5250 30.738843 10.264747 26.588658
185   1  0.5250 30.738817 18.454412  2.019670
186   1  0.5250 30.738814 18.454400 10.209332
187   1  0.5250 30.738811 18.454388 18.398995
188   1  0.5250 30.738808 18.454377 26.588658
189   1  0.5250 30.738782 26.644042  2.019670
190   1  0.5250 30.738779 26.644030 10.209332
191   1  0.5250 30.738776 26.644018 18.398995
192   1  0.5250 30.738774 26.644006 26.588658
