Generated by pymatgen.io.lammps.data.LammpsData

3625  atoms

   4  atom types

0.000000 27.729401  xlo xhi
0.000000 32.557337  ylo yhi
0.000000 63.438127  zlo zhi
-12.141273 -10.324197 -9.685184  xy xz yz

Masses

1    6.941000
2  238.028910
3   30.973762
4   15.999400

Atoms

123   2 -0.0000  21.339581  4.615211  3.624620
124   4 -0.3675  23.993639  4.713822  4.997080
125   1  0.5250  21.478348  5.318145 10.073302
126   4 -0.3675  18.836501  9.690319 17.620768
127   4 -0.3675  20.165812  0.617444  0.115271
128   4 -0.3675  -4.492525  7.143188  9.417068
129   1  0.5250  -2.379507 11.334308  1.086775
130   2 -0.0000  -1.974816 11.651062  7.443047
131   2 -0.0000  -3.687508 11.630161  3.566185
132   3  1.5750  -0.506906 13.720207  6.609615
133   3  1.5750  -2.708775  9.275195  8.619840
134   3  1.5750  -1.888963 13.549094  2.697851
135   4 -0.3675  -2.357055  7.073277  1.249292
136   4 -0.3675  -4.372929 13.227314  1.365976
137   4 -0.3675  -1.097783 11.530404  4.754042
138   4 -0.3675  -0.366751  7.092998  5.231348
139   4 -0.3675  -2.889917 13.629044  5.295459
140   4 -0.3675  -0.583063  9.134731  0.449367
141   4 -0.3675  -2.667323  6.998541  3.935989
142   4 -0.3675  -5.547010 13.741766  4.061816
143   4 -0.3675  -1.501811 13.785899  9.054327
144   4 -0.3675  -0.639971  7.005672  7.968315
145   4 -0.3675  -3.869260 13.879075  7.854813
146   4 -0.3675  -4.331514 11.598370  6.253521
147   4 -0.3675  -1.812938  9.389760  3.017096
148   4 -0.3675  -4.590503 11.406960  9.006425
149   4 -0.3675  -2.270709  9.349479  5.823349
150   3  1.5750  -3.175373  7.040846  6.672933
151   3  1.5750  -6.238934 13.825725  6.693174
152   4 -0.3675  -6.372841 13.551598  9.464623
153   4 -0.3675  -6.100290 15.614001  1.789750
154   4 -0.3675  -3.718801 15.824308  0.319240
155   4 -0.3675  -1.364906 15.910308  1.588098
156   1  0.5250  -2.127501 11.473080 10.315475
157   4 -0.3675  22.677816  9.090260  7.262157
158   4 -0.3675  -3.816179 15.578892  3.081352
159   4 -0.3675  -0.233305  9.236887  9.757354
160   4 -0.3675   0.044532 11.299094  2.336179
