# Time-averaged data for fix frdfa
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
172000 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 6.62557e-06 5.97449e-07
24 1.41 4.19696e-05 4.77959e-06
25 1.47 0.000193757 2.56903e-05
26 1.53 0.00056619 9.14096e-05
27 1.59 0.00143176 0.000270644
28 1.65 0.00336264 0.000721121
29 1.71 0.0074657 0.00178757
30 1.77 0.0146365 0.00401127
31 1.83 0.0250054 0.00804524
32 1.89 0.040419 0.0149374
33 1.95 0.0630746 0.0262686
34 2.01 0.091972 0.0436197
35 2.07 0.129421 0.0691738
36 2.13 0.174978 0.105232
37 2.19 0.234773 0.155509
38 2.25 0.306173 0.223358
39 2.31 0.392349 0.312907
40 2.37 0.500578 0.429788
41 2.43 0.640528 0.581671
42 2.49 0.815115 0.776657
43 2.55 1.01593 1.02227
44 2.61 1.20476 1.31826
45 2.67 1.34823 1.65909
46 2.73 1.43084 2.0336
47 2.79 1.48745 2.4375
48 2.85 1.53498 2.86871
49 2.91 1.57891 3.32629
50 2.97 1.62416 3.81127
51 3.03 1.6413 4.31672
52 3.09 1.6285 4.83489
53 3.15 1.59759 5.36085
54 3.21 1.55036 5.88926
55 3.27 1.48909 6.41539
56 3.33 1.42792 6.93802
57 3.39 1.371 7.45789
58 3.45 1.31184 7.97288
59 3.51 1.25905 8.48463
60 3.57 1.20895 8.99318
61 3.63 1.16121 9.49869
62 3.69 1.11591 10.0015
63 3.75 1.07106 10.5012
64 3.81 1.03294 10.9999
65 3.87 0.996949 11.498
66 3.93 0.959638 11.9942
67 3.99 0.928632 12.4916
68 4.05 0.896674 12.9889
69 4.11 0.869706 13.4879
70 4.17 0.844007 13.9895
71 4.23 0.824746 14.4969
72 4.29 0.803869 15.0086
73 4.35 0.790516 15.5289
74 4.41 0.779668 16.0594
75 4.47 0.773786 16.603
76 4.53 0.77042 17.1615
77 4.59 0.770088 17.737
78 4.65 0.772652 18.3318
79 4.71 0.781379 18.9502
80 4.77 0.789895 19.5928
81 4.83 0.801686 20.2621
82 4.89 0.820372 20.9639
83 4.95 0.840122 21.6995
84 5.01 0.863057 22.4719
85 5.07 0.889047 23.2846
86 5.13 0.918109 24.1405
87 5.19 0.946984 25.0405
88 5.25 0.974511 25.9841
89 5.31 1.00099 26.9711
90 5.37 1.02986 28.0056
91 5.43 1.0531 29.0821
92 5.49 1.07476 30.2011
93 5.55 1.09391 31.3604
94 5.61 1.11059 32.5581
95 5.67 1.1252 33.7934
96 5.73 1.13761 35.0647
97 5.79 1.14531 36.3678
98 5.85 1.15035 37.7003
99 5.91 1.15205 39.059
100 5.97 1.14904 40.4396
101 6.03 1.14409 41.8403
102 6.09 1.1344 43.2558
103 6.15 1.1214 44.6827
104 6.21 1.1087 46.1215
105 6.27 1.09347 47.5691
106 6.33 1.07628 49.023
107 6.39 1.0586 50.4826
108 6.45 1.04083 51.9475
109 6.51 1.02418 53.4192
110 6.57 1.00729 54.8965
111 6.63 0.991154 56.3805
112 6.69 0.977429 57.8748
113 6.75 0.964918 59.3803
114 6.81 0.954121 60.8996
115 6.87 0.945023 62.4345
116 6.93 0.938476 63.9888
117 6.99 0.932594 65.5631
118 7.05 0.92999 67.163
119 7.11 0.926754 68.7865
120 7.17 0.927519 70.4412
121 7.23 0.928576 72.1268
122 7.29 0.930844 73.8456
123 7.35 0.933403 75.5986
124 7.41 0.937468 77.3887
125 7.47 0.943187 79.2187
126 7.53 0.94934 81.0898
127 7.59 0.954732 83.0007
128 7.65 0.962138 84.9564
129 7.71 0.968037 86.9536
130 7.77 0.975181 88.995
131 7.83 0.982385 91.0815
132 7.89 0.989073 93.2123
133 7.95 0.995679 95.3876
134 8.01 1.00269 97.6081
135 8.07 1.00839 99.8721
136 8.13 1.01555 102.183
