Generated by pymatgen.io.lammps.data.LammpsData

3888  atoms

   4  atom types

0.000000 33.121146  xlo xhi
0.000000 34.132362  ylo yhi
0.000000 51.154578  zlo zhi
2.562600 13.390740 4.852116  xy xz yz

Masses

1  85.4678
2   6.9410
3  28.0855
4  15.9994

Atoms

128   1  0.8200 24.700771 23.304745 14.760611
129   1  0.8200 26.932561 24.113431 23.286374
130   1  0.8200 29.164351 24.922117 31.812137
131   1  0.8200 31.396141 25.730803 40.337900
132   1  0.8200 33.627931 26.539489 48.863663
133   1  0.8200 22.896081 28.184786  6.234848
134   1  0.8200 25.127871 28.993472 14.760611
135   1  0.8200 27.359661 29.802158 23.286374
136   1  0.8200 29.591451 30.610844 31.812137
137   1  0.8200 31.823241 31.419530 40.337900
138   1  0.8200 34.055031 32.228216 48.863663
139   1  0.8200 23.323181 33.873513  6.234848
140   1  0.8200 25.554971 34.682199 14.760611
141   1  0.8200 27.786761 35.490885 23.286374
142   1  0.8200 30.018551 36.299571 31.812137
143   1  0.8200 32.250341 37.108257 40.337900
144   1  0.8200 34.482131 37.916943 48.863663
145   1  0.8200 26.707872  5.429878  6.234848
146   1  0.8200 28.939662  6.238564 14.760611
147   1  0.8200 31.171452  7.047250 23.286374
148   1  0.8200 33.403242  7.855936 31.812137
149   1  0.8200 35.635032  8.664622 40.337900
150   1  0.8200 37.866822  9.473308 48.863663
151   1  0.8200 27.134972 11.118605  6.234848
152   1  0.8200 29.366762 11.927291 14.760611
153   1  0.8200 31.598552 12.735977 23.286374
154   1  0.8200 33.830342 13.544663 31.812137
155   1  0.8200 36.062132 14.353349 40.337900
156   1  0.8200 38.293922 15.162035 48.863663
157   1  0.8200 27.562072 16.807332  6.234848
158   1  0.8200 29.793862 17.616018 14.760611
159   1  0.8200 32.025652 18.424704 23.286374
160   1  0.8200 34.257442 19.233390 31.812137
161   1  0.8200 36.489232 20.042076 40.337900
162   1  0.8200 38.721022 20.850762 48.863663
163   1  0.8200 27.989172 22.496059  6.234848
164   1  0.8200 30.220962 23.304745 14.760611
165   1  0.8200 32.452752 24.113431 23.286374
166   1  0.8200 34.684542 24.922117 31.812137
167   1  0.8200 36.916332 25.730803 40.337900
168   1  0.8200 39.148122 26.539489 48.863663
169   1  0.8200 28.416272 28.184786  6.234848
170   1  0.8200 30.648062 28.993472 14.760611
171   1  0.8200 32.879852 29.802158 23.286374
172   1  0.8200 35.111642 30.610844 31.812137
173   1  0.8200 37.343432 31.419530 40.337900
174   1  0.8200 39.575222 32.228216 48.863663
175   1  0.8200 28.843372 33.873513  6.234848
176   1  0.8200 31.075162 34.682199 14.760611
177   1  0.8200 33.306952 35.490885 23.286374
178   1  0.8200 35.538742 36.299571 31.812137
179   1  0.8200 37.770532 37.108257 40.337900
180   1  0.8200 40.002322 37.916943 48.863663
181   1  0.8200 32.228063  5.429878  6.234848
182   1  0.8200 34.459853  6.238564 14.760611
183   1  0.8200 36.691643  7.047250 23.286374
184   1  0.8200 38.923433  7.855936 31.812137
185   1  0.8200 41.155223  8.664622 40.337900
186   1  0.8200 43.387013  9.473308 48.863663
187   1  0.8200 32.655163 11.118605  6.234848
188   1  0.8200 34.886953 11.927291 14.760611
189   1  0.8200 37.118743 12.735977 23.286374
190   1  0.8200 39.350533 13.544663 31.812137
191   1  0.8200 41.582323 14.353349 40.337900
192   1  0.8200 43.814113 15.162035 48.863663
193   1  0.8200 33.082263 16.807332  6.234848
194   1  0.8200 35.314053 17.616018 14.760611
195   1  0.8200 37.545843 18.424704 23.286374
196   1  0.8200 39.777633 19.233390 31.812137
197   1  0.8200 42.009423 20.042076 40.337900
198   1  0.8200 44.241213 20.850762 48.863663
199   1  0.8200 33.509363 22.496059  6.234848
200   1  0.8200 35.741153 23.304745 14.760611
201   1  0.8200 37.972943 24.113431 23.286374
202   1  0.8200 40.204733 24.922117 31.812137
203   1  0.8200 42.436523 25.730803 40.337900
204   1  0.8200 44.668313 26.539489 48.863663
205   1  0.8200 33.936463 28.184786  6.234848
206   1  0.8200 36.168253 28.993472 14.760611
207   1  0.8200 38.400043 29.802158 23.286374
208   1  0.8200 40.631833 30.610844 31.812137
209   1  0.8200 42.863623 31.419530 40.337900
210   1  0.8200 45.095413 32.228216 48.863663
211   1  0.8200 34.363563 33.873513  6.234848
212   1  0.8200 36.595353 34.682199 14.760611
213   1  0.8200 38.827143 35.490885 23.286374
214   1  0.8200 41.058933 36.299571 31.812137
215   1  0.8200 43.290723 37.108257 40.337900
216   1  0.8200 45.522513 37.916943 48.863663
217   1  0.8200  3.551973  1.067535  2.290915
218   1  0.8200  5.783763  1.876221 10.816678
219   1  0.8200  8.015553  2.684907 19.342441
220   1  0.8200 10.247343  3.493593 27.868204
221   1  0.8200 12.479133  4.302279 36.393967
222   1  0.8200 14.710923  5.110965 44.919730
223   1  0.8200  3.979073  6.756262  2.290915
224   1  0.8200  6.210863  7.564948 10.816678
225   1  0.8200  8.442653  8.373634 19.342441
226   1  0.8200 10.674443  9.182320 27.868204
227   1  0.8200 12.906233  9.991006 36.393967
228   1  0.8200 15.138023 10.799692 44.919730
