Generated by pymatgen.io.lammps.data.LammpsData

3240  atoms

   4  atom types

0.000000 33.680420  xlo xhi
0.000000 35.099460  ylo yhi
0.000000 46.796311  zlo zhi
-9.212003 -8.987163 -18.925571  xy xz yz

Masses

1    6.94100
2  238.02891
3   95.94000
4   15.99940

Atoms

122   4 -0.5442  11.798263   9.325995  7.401266
123   4 -0.5442   9.034139   8.566971  7.619760
124   4 -0.5442  23.064771   1.944288  6.434369
125   4 -0.5442  20.191609   1.857184  6.357467
126   4 -0.5442  17.422202   5.646823  4.978079
127   4 -0.5442  17.241256   2.059991  1.888403
128   2 -0.0000  18.654420   7.540219  6.693360
129   4 -0.5442  22.877306   2.448765  1.681172
130   1  0.5250  21.844132   4.923453  2.558312
131   1  0.5250  18.018587   3.161965  4.385825
132   1  0.5250  23.768999   3.593104  4.459978
133   1  0.5250  22.095148   8.794095  5.093835
134   3  2.1960  18.914799   9.207648  0.534740
135   4 -0.5442  19.307399   4.972439  2.521161
136   4 -0.5442  24.556151   4.843188  2.332668
137   4 -0.5442  21.086430   7.803509  2.567979
138   4 -0.5442  20.189194   5.977758  4.674063
139   4 -0.5442  22.859933   6.394522  4.739766
140   4 -0.5442  20.010206   2.332298  1.998809
141   4 -0.5442  18.016379   7.565474  2.643561
142   4 -0.5442  23.746445   7.478263  2.627045
143   4 -0.5442  21.070324   3.315743  4.429670
144   4 -0.5442  19.287949   8.861013  4.587795
145   4 -0.5442  22.993192   6.463880  0.233911
146   4 -0.5442  24.941289   8.484320  5.050666
147   3  2.1960  19.386165   4.442695  6.703594
148   4 -0.5442  22.015802   4.307030  6.773704
149   3  2.1960  24.526378   9.033002  0.343395
150   3  2.1960  25.138363   3.990151  6.967486
151   4 -0.5442  21.210977   7.016014  7.033779
152   2 -0.0000  24.339404   6.709266  7.215483
153   4 -0.5442  23.284528   9.606898  7.359333
154   2 -0.0000  20.016632   6.674362  0.438555
155   1  0.5250  25.466948  12.201971 11.508715
156   3  2.1960  29.723176   6.479718  7.021837
157   4 -0.5442  31.002297   6.662217  0.356760
158   2 -0.0000  25.428814   6.546514  0.058076
159   4 -0.5442  28.421835   6.878139  0.329092
160   4 -0.5442  28.557647   2.253735  1.745307
161   4 -0.5442  25.625123   5.826876  4.763287
162   4 -0.5442  25.921643   2.267712  1.489146
163   4 -0.5442  29.628543   7.634534  2.610200
164   1  0.5250  27.546566   4.795603  1.888159
165   1  0.5250  29.475963   3.087532  4.163696
166   1  0.5250  27.758728   8.506929  4.813435
167   4 -0.5442  30.153066   4.889508  2.171830
168   4 -0.5442  26.688808   7.513278  2.594329
169   4 -0.5442  28.481500   5.898047  4.373083
170   4 -0.5442  31.331829   2.323253  1.533475
171   4 -0.5442  30.171883   9.555851  0.703960
172   4 -0.5442  26.873697   3.311352  3.996969
173   4 -0.5442  27.363707   9.134897  0.454209
174   4 -0.5442  27.883704   4.158886  6.640915
175   4 -0.5442  26.983934   6.748367  6.974924
176   3  2.1960  26.211555   9.766679  7.173115
177   4 -0.5442  28.708855   9.015049  7.673200
178   1  0.5250  -2.229270   9.804637  3.244223
179   4 -0.5442   0.500707  10.028957  2.844163
180   4 -0.5442  -3.719491  15.423833  3.505890
181   4 -0.5442  -2.788119  12.641534  3.482147
182   4 -0.5442  -1.741519  14.137535  5.516976
183   4 -0.5442  -0.208675  12.841780  3.398466
184   4 -0.5442  -1.379597  11.623400  1.225752
185   4 -0.5442  -2.159724  14.586937  1.308618
186   4 -0.5442  -1.388267  11.203782  5.310052
187   3  2.1960   0.020030  12.663052  7.005533
188   2 -0.0000  -4.016042  10.791234  5.587425
189   4 -0.5442  -2.677523  12.404017  7.617925
190   4 -0.5442   0.697907  14.371334  1.220710
191   3  2.1960  -4.524363  13.543365  5.611968
192   1  0.5250  -1.038783  15.568911  3.443752
193   2 -0.0000   0.702392   9.745692  7.166075
194   2 -0.0000   6.352810   9.513946  7.310113
195   4 -0.5442   1.105008  14.483095  5.108620
196   3  2.1960   1.688190  11.254867  5.061434
197   4 -0.5442   4.380584  10.592049  5.613520
198   4 -0.5442   3.332599  10.046201  2.919357
199   1  0.5250   6.420110   9.972107  2.894324
200   3  2.1960   6.130113  14.148811  1.072625
201   4 -0.5442   3.422252  14.670219  0.877148
202   4 -0.5442   1.498208  11.701378  1.061812
203   4 -0.5442   7.331483  11.629443  0.854609
204   4 -0.5442   2.647217  13.063663  3.013308
205   4 -0.5442   7.387421  11.128325  5.192985
206   4 -0.5442   5.280852  12.507788  3.500741
207   4 -0.5442   8.097091  12.994123  2.798452
208   4 -0.5442   3.711071  13.596704  5.561244
209   4 -0.5442   6.721653  14.241789  4.872567
210   4 -0.5442   4.265026  11.747653  0.859997
211   3  2.1960   5.856478  12.658969  7.011573
212   1  0.5250   4.625911  15.503977  3.159028
213   1  0.5250   7.343349  15.925169  2.819866
214   4 -0.5442   2.037361  15.981596  3.002076
215   4 -0.5442   2.657829  11.935137  7.602595
216   4 -0.5442   9.198457  10.040890  2.884170
217   4 -0.5442   8.959416  14.626692  0.868605
218   4 -0.5442   9.330991  13.095572  5.722475
219   3  2.1960  14.555503   9.856459  2.968367
220   4 -0.5442  11.845020   9.599315  3.186264
221   1  0.5250  12.646481  15.596894  3.145363
222   4 -0.5442  10.087172  10.384912  5.534825
223   2 -0.0000  12.913678  10.886359  5.331524
224   4 -0.5442  10.085715  11.492524  0.645575
225   3  2.1960  10.909991  12.159428  3.384775
226   1  0.5250  15.414271  11.392243  5.087769
227   4 -0.5442  14.326284  14.258220  1.028100
228   4 -0.5442  16.876729  12.824067  7.054990
229   4 -0.5442  13.662253  12.674134  3.254216
230   4 -0.5442  14.990189  14.368780  5.117876
231   4 -0.5442  12.286812  13.672941  5.485805
232   4 -0.5442  11.567850  14.056071  1.413950
233   4 -0.5442  12.616240  11.337156  1.253052
234   4 -0.5442  15.430324  11.410680  0.952244
235   4 -0.5442  16.356371  12.963029  2.788729
236   3  2.1960  14.820043   9.437773  7.019700
