Generated by pymatgen.io.lammps.data.LammpsData

3240  atoms

   4  atom types

0.000000 33.051444  xlo xhi
0.000000 34.443983  ylo yhi
0.000000 45.922397  zlo zhi
-9.039970 -8.819329 -18.572139  xy xz yz

Masses

1    6.94100
2  238.02891
3   95.94000
4   15.99940

Atoms

123   1  0.5250  12.255112   5.213946 18.556598
124   1  0.5250  10.785223   2.118590 26.210331
125   1  0.5250   9.315335  -0.976767 33.864064
126   1  0.5250   7.845447  -4.072123 41.517797
127   1  0.5250  13.688226  17.145323  3.249132
128   1  0.5250  12.218338  14.049967 10.902865
129   1  0.5250  10.748450  10.954610 18.556598
130   1  0.5250   9.278562   7.859253 26.210331
131   1  0.5250   7.808673   4.763897 33.864064
132   1  0.5250   6.338785   1.668540 41.517797
133   1  0.5250  12.181565  22.885987  3.249132
134   1  0.5250  10.711676  19.790630 10.902865
135   1  0.5250   9.241788  16.695274 18.556598
136   1  0.5250   7.771900  13.599917 26.210331
137   1  0.5250   6.302012  10.504561 33.864064
138   1  0.5250   4.832123   7.409204 41.517797
139   1  0.5250  10.674903  28.626651  3.249132
140   1  0.5250   9.205015  25.531294 10.902865
141   1  0.5250   7.735126  22.435938 18.556598
142   1  0.5250   6.265238  19.340581 26.210331
143   1  0.5250   4.795350  16.245225 33.864064
144   1  0.5250   3.325462  13.149868 41.517797
145   1  0.5250  23.716786  -0.076668  3.249132
146   1  0.5250  22.246897  -3.172025 10.902865
147   1  0.5250  20.777009  -6.267381 18.556598
148   1  0.5250  19.307121  -9.362738 26.210331
149   1  0.5250  17.837233 -12.458095 33.864064
150   1  0.5250  16.367344 -15.553451 41.517797
151   1  0.5250  22.210124   5.663995  3.249132
152   1  0.5250  20.740236   2.568639 10.902865
153   1  0.5250  19.270347  -0.526718 18.556598
154   1  0.5250  17.800459  -3.622074 26.210331
155   1  0.5250  16.330571  -6.717431 33.864064
156   1  0.5250  14.860683  -9.812787 41.517797
157   1  0.5250  20.703462  11.404659  3.249132
158   1  0.5250  19.233574   8.309303 10.902865
159   1  0.5250  17.763686   5.213946 18.556598
160   1  0.5250  16.293797   2.118590 26.210331
161   1  0.5250  14.823909  -0.976767 33.864064
162   1  0.5250  13.354021  -4.072123 41.517797
163   1  0.5250  19.196800  17.145323  3.249132
164   1  0.5250  17.726912  14.049967 10.902865
165   1  0.5250  16.257024  10.954610 18.556598
166   1  0.5250  14.787136   7.859253 26.210331
167   1  0.5250  13.317247   4.763897 33.864064
168   1  0.5250  11.847359   1.668540 41.517797
169   1  0.5250  17.690139  22.885987  3.249132
170   1  0.5250  16.220250  19.790630 10.902865
171   1  0.5250  14.750362  16.695274 18.556598
172   1  0.5250  13.280474  13.599917 26.210331
173   1  0.5250  11.810586  10.504561 33.864064
174   1  0.5250  10.340697   7.409204 41.517797
175   1  0.5250  16.183477  28.626651  3.249132
176   1  0.5250  14.713589  25.531294 10.902865
177   1  0.5250  13.243701  22.435938 18.556598
178   1  0.5250  11.773812  19.340581 26.210331
179   1  0.5250  10.303924  16.245225 33.864064
180   1  0.5250   8.834036  13.149868 41.517797
181   1  0.5250  29.225360  -0.076668  3.249132
182   1  0.5250  27.755471  -3.172025 10.902865
183   1  0.5250  26.285583  -6.267381 18.556598
184   1  0.5250  24.815695  -9.362738 26.210331
185   1  0.5250  23.345807 -12.458095 33.864064
186   1  0.5250  21.875918 -15.553451 41.517797
187   1  0.5250  27.718698   5.663995  3.249132
188   1  0.5250  26.248810   2.568639 10.902865
189   1  0.5250  24.778921  -0.526718 18.556598
190   1  0.5250  23.309033  -3.622074 26.210331
191   1  0.5250  21.839145  -6.717431 33.864064
192   1  0.5250  20.369257  -9.812787 41.517797
193   1  0.5250  26.212036  11.404659  3.249132
194   1  0.5250  24.742148   8.309303 10.902865
195   1  0.5250  23.272260   5.213946 18.556598
196   1  0.5250  21.802371   2.118590 26.210331
197   1  0.5250  20.332483  -0.976767 33.864064
198   1  0.5250  18.862595  -4.072123 41.517797
199   1  0.5250  24.705374  17.145323  3.249132
200   1  0.5250  23.235486  14.049967 10.902865
201   1  0.5250  21.765598  10.954610 18.556598
202   1  0.5250  20.295710   7.859253 26.210331
203   1  0.5250  18.825821   4.763897 33.864064
204   1  0.5250  17.355933   1.668540 41.517797
205   1  0.5250  23.198713  22.885987  3.249132
206   1  0.5250  21.728825  19.790630 10.902865
207   1  0.5250  20.258936  16.695274 18.556598
208   1  0.5250  18.789048  13.599917 26.210331
209   1  0.5250  17.319160  10.504561 33.864064
210   1  0.5250  15.849272   7.409204 41.517797
211   1  0.5250  21.692051  28.626651  3.249132
212   1  0.5250  20.222163  25.531294 10.902865
213   1  0.5250  18.752275  22.435938 18.556598
214   1  0.5250  17.282386  19.340581 26.210331
215   1  0.5250  15.812498  16.245225 33.864064
216   1  0.5250  14.342610  13.149868 41.517797
217   1  0.5250   0.849535   2.721976  4.404601
218   1  0.5250  -0.620354  -0.373381 12.058334
219   1  0.5250  -2.090242  -3.468737 19.712067
220   1  0.5250  -3.560130  -6.564094 27.365800
221   1  0.5250  -5.030018  -9.659450 35.019532
222   1  0.5250  -6.499907 -12.754807 42.673265
223   1  0.5250  -0.657127   8.462640  4.404601
224   1  0.5250  -2.127015   5.367283 12.058334
225   1  0.5250  -3.596904   2.271927 19.712067
226   1  0.5250  -5.066792  -0.823430 27.365800
227   1  0.5250  -6.536680  -3.918786 35.019532
228   1  0.5250  -8.006568  -7.014143 42.673265
229   1  0.5250  -2.163789  14.203303  4.404601
230   1  0.5250  -3.633677  11.107947 12.058334
231   1  0.5250  -5.103565   8.012590 19.712067
232   1  0.5250  -6.573454   4.917234 27.365800
233   1  0.5250  -8.043342   1.821877 35.019532
234   1  0.5250  -9.513230  -1.273479 42.673265
235   1  0.5250  -3.670451  19.943967  4.404601
236   1  0.5250  -5.140339  16.848611 12.058334
237   1  0.5250  -6.610227  13.753254 19.712067
238   1  0.5250  -8.080115  10.657898 27.365800
239   1  0.5250  -9.550004   7.562541 35.019532
240   1  0.5250 -11.019892   4.467185 42.673265
241   1  0.5250  -5.177112  25.684631  4.404601
242   1  0.5250  -6.647001  22.589275 12.058334
243   1  0.5250  -8.116889  19.493918 19.712067
244   1  0.5250  -9.586777  16.398562 27.365800
245   1  0.5250 -11.056665  13.303205 35.019532
246   1  0.5250 -12.526554  10.207849 42.673265
247   1  0.5250  -6.683774  31.425295  4.404601
248   1  0.5250  -8.153662  28.329938 12.058334
249   1  0.5250  -9.623551  25.234582 19.712067
250   1  0.5250 -11.093439  22.139225 27.365800
251   1  0.5250 -12.563327  19.043869 35.019532
252   1  0.5250 -14.033215  15.948512 42.673265
253   1  0.5250   6.358109   2.721976  4.404601
254   1  0.5250   4.888220  -0.373381 12.058334
255   1  0.5250   3.418332  -3.468737 19.712067
256   1  0.5250   1.948444  -6.564094 27.365800
257   1  0.5250   0.478556  -9.659450 35.019532
258   1  0.5250  -0.991333 -12.754807 42.673265
259   1  0.5250   4.851447   8.462640  4.404601
260   1  0.5250   3.381559   5.367283 12.058334
261   1  0.5250   1.911670   2.271927 19.712067
262   1  0.5250   0.441782  -0.823430 27.365800
263   1  0.5250  -1.028106  -3.918786 35.019532
264   1  0.5250  -2.497994  -7.014143 42.673265
265   1  0.5250   3.344785  14.203303  4.404601
266   1  0.5250   1.874897  11.107947 12.058334
267   1  0.5250   0.405009   8.012590 19.712067
268   1  0.5250  -1.064880   4.917234 27.365800
269   1  0.5250  -2.534768   1.821877 35.019532
270   1  0.5250  -4.004656  -1.273479 42.673265
271   1  0.5250   1.838123  19.943967  4.404601
272   1  0.5250   0.368235  16.848611 12.058334
273   1  0.5250  -1.101653  13.753254 19.712067
274   1  0.5250  -2.571541  10.657898 27.365800
275   1  0.5250  -4.041430   7.562541 35.019532
276   1  0.5250  -5.511318   4.467185 42.673265
277   1  0.5250   0.331462  25.684631  4.404601
278   1  0.5250  -1.138427  22.589275 12.058334
279   1  0.5250  -2.608315  19.493918 19.712067
280   1  0.5250  -4.078203  16.398562 27.365800
281   1  0.5250  -5.548091  13.303205 35.019532
282   1  0.5250  -7.017980  10.207849 42.673265
283   1  0.5250  -1.175200  31.425295  4.404601
284   1  0.5250  -2.645088  28.329938 12.058334
285   1  0.5250  -4.114977  25.234582 19.712067
286   1  0.5250  -5.584865  22.139225 27.365800
287   1  0.5250  -7.054753  19.043869 35.019532
288   1  0.5250  -8.524641  15.948512 42.673265
289   1  0.5250  11.866683   2.721976  4.404601
290   1  0.5250  10.396794  -0.373381 12.058334
291   1  0.5250   8.926906  -3.468737 19.712067
292   1  0.5250   7.457018  -6.564094 27.365800
293   1  0.5250   5.987130  -9.659450 35.019532
294   1  0.5250   4.517241 -12.754807 42.673265
295   1  0.5250  10.360021   8.462640  4.404601
296   1  0.5250   8.890133   5.367283 12.058334
297   1  0.5250   7.420244   2.271927 19.712067
298   1  0.5250   5.950356  -0.823430 27.365800
299   1  0.5250   4.480468  -3.918786 35.019532
300   1  0.5250   3.010580  -7.014143 42.673265
301   1  0.5250   8.853359  14.203303  4.404601
302   1  0.5250   7.383471  11.107947 12.058334
303   1  0.5250   5.913583   8.012590 19.712067
304   1  0.5250   4.443694   4.917234 27.365800
305   1  0.5250   2.973806   1.821877 35.019532
306   1  0.5250   1.503918  -1.273479 42.673265
307   1  0.5250   7.346697  19.943967  4.404601
308   1  0.5250   5.876809  16.848611 12.058334
309   1  0.5250   4.406921  13.753254 19.712067
310   1  0.5250   2.937033  10.657898 27.365800
