Generated by pymatgen.io.lammps.data.LammpsData

3500  atoms

   4  atom types

0.000000 30.195263  xlo xhi
0.000000 51.402916  ylo yhi
0.000000 25.778042  zlo zhi
15.064948 15.087062 4.428094  xy xz yz

Masses

1    6.9410
2   50.9415
3  121.7600
4   15.9994

Atoms

128   1 0.0000 15.090187  4.616871 15.129525
129   1 0.0000 18.107599  5.502490 20.285133
130   1 0.0000 21.125012  6.388109 25.440741
131   1 0.0000 12.068352 13.126216  4.818308
132   1 0.0000 15.085764 14.011835  9.973916
133   1 0.0000 18.103177 14.897454 15.129525
134   1 0.0000 21.120589 15.783073 20.285133
135   1 0.0000 24.138001 16.668692 25.440741
136   1 0.0000 15.081342 23.406799  4.818308
137   1 0.0000 18.098754 24.292418  9.973916
138   1 0.0000 21.116166 25.178037 15.129525
139   1 0.0000 24.133579 26.063656 20.285133
140   1 0.0000 27.150991 26.949275 25.440741
141   1 0.0000 18.094331 33.687383  4.818308
142   1 0.0000 21.111743 34.573001  9.973916
143   1 0.0000 24.129156 35.458620 15.129525
144   1 0.0000 27.146568 36.344239 20.285133
145   1 0.0000 30.163981 37.229858 25.440741
146   1 0.0000 21.107321 43.967966  4.818308
147   1 0.0000 24.124733 44.853585  9.973916
148   1 0.0000 27.142145 45.739203 15.129525
149   1 0.0000 30.159558 46.624822 20.285133
150   1 0.0000 33.176970 47.510441 25.440741
151   1 0.0000 15.094415  2.845633  4.818308
152   1 0.0000 18.111827  3.731252  9.973916
153   1 0.0000 21.129240  4.616871 15.129525
154   1 0.0000 24.146652  5.502490 20.285133
155   1 0.0000 27.164064  6.388109 25.440741
156   1 0.0000 18.107404 13.126216  4.818308
157   1 0.0000 21.124817 14.011835  9.973916
158   1 0.0000 24.142229 14.897454 15.129525
159   1 0.0000 27.159642 15.783073 20.285133
160   1 0.0000 30.177054 16.668692 25.440741
161   1 0.0000 21.120394 23.406799  4.818308
162   1 0.0000 24.137806 24.292418  9.973916
163   1 0.0000 27.155219 25.178037 15.129525
164   1 0.0000 30.172631 26.063656 20.285133
165   1 0.0000 33.190044 26.949275 25.440741
166   1 0.0000 24.133384 33.687383  4.818308
167   1 0.0000 27.150796 34.573001  9.973916
168   1 0.0000 30.168208 35.458620 15.129525
169   1 0.0000 33.185621 36.344239 20.285133
170   1 0.0000 36.203033 37.229858 25.440741
171   1 0.0000 27.146373 43.967966  4.818308
172   1 0.0000 30.163786 44.853585  9.973916
173   1 0.0000 33.181198 45.739203 15.129525
174   1 0.0000 36.198610 46.624822 20.285133
175   1 0.0000 39.216023 47.510441 25.440741
176   1 0.0000 21.133467  2.845633  4.818308
177   1 0.0000 24.150880  3.731252  9.973916
178   1 0.0000 27.168292  4.616871 15.129525
179   1 0.0000 30.185705  5.502490 20.285133
180   1 0.0000 33.203117  6.388109 25.440741
181   1 0.0000 24.146457 13.126216  4.818308
182   1 0.0000 27.163869 14.011835  9.973916
183   1 0.0000 30.181282 14.897454 15.129525
184   1 0.0000 33.198694 15.783073 20.285133
185   1 0.0000 36.216106 16.668692 25.440741
186   1 0.0000 27.159447 23.406799  4.818308
187   1 0.0000 30.176859 24.292418  9.973916
188   1 0.0000 33.194271 25.178037 15.129525
189   1 0.0000 36.211684 26.063656 20.285133
190   1 0.0000 39.229096 26.949275 25.440741
191   1 0.0000 30.172436 33.687383  4.818308
192   1 0.0000 33.189848 34.573001  9.973916
193   1 0.0000 36.207261 35.458620 15.129525
194   1 0.0000 39.224673 36.344239 20.285133
195   1 0.0000 42.242086 37.229858 25.440741
196   1 0.0000 33.185426 43.967966  4.818308
197   1 0.0000 36.202838 44.853585  9.973916
198   1 0.0000 39.220250 45.739203 15.129525
199   1 0.0000 42.237663 46.624822 20.285133
200   1 0.0000 45.255075 47.510441 25.440741
201   1 0.0000 27.172520  2.845633  4.818308
202   1 0.0000 30.189932  3.731252  9.973916
203   1 0.0000 33.207345  4.616871 15.129525
204   1 0.0000 36.224757  5.502490 20.285133
205   1 0.0000 39.242169  6.388109 25.440741
206   1 0.0000 30.185509 13.126216  4.818308
207   1 0.0000 33.202922 14.011835  9.973916
208   1 0.0000 36.220334 14.897454 15.129525
209   1 0.0000 39.237747 15.783073 20.285133
210   1 0.0000 42.255159 16.668692 25.440741
211   1 0.0000 33.198499 23.406799  4.818308
212   1 0.0000 36.215911 24.292418  9.973916
213   1 0.0000 39.233324 25.178037 15.129525
214   1 0.0000 42.250736 26.063656 20.285133
215   1 0.0000 45.268149 26.949275 25.440741
216   1 0.0000 36.211489 33.687383  4.818308
217   1 0.0000 39.228901 34.573001  9.973916
218   1 0.0000 42.246313 35.458620 15.129525
219   1 0.0000 45.263726 36.344239 20.285133
220   1 0.0000 48.281138 37.229858 25.440741
221   1 0.0000 39.224478 43.967966  4.818308
222   1 0.0000 42.241891 44.853585  9.973916
223   1 0.0000 45.259303 45.739203 15.129525
224   1 0.0000 48.276715 46.624822 20.285133
225   1 0.0000 51.294128 47.510441 25.440741
226   1 0.0000 33.211572  2.845633  4.818308
227   1 0.0000 36.228985  3.731252  9.973916
228   1 0.0000 39.246397  4.616871 15.129525
