Generated by pymatgen.io.lammps.data.LammpsData

5760  atoms

   4  atom types

0.000000 37.842116  xlo xhi
0.000000 34.078072  ylo yhi
0.000000 53.795460  zlo zhi
-18.534996 -1.724976 -11.150760  xy xz yz

Masses

1   6.941000
2  30.973762
3   1.007940
4  14.006700

Atoms

125   1  0.5250  16.599320  24.191736 12.437093
126   1  0.5250  16.168076  21.404046 25.885958
127   1  0.5250  15.736832  18.616356 39.334823
128   1  0.5250  15.305588  15.828666 52.783688
129   1  0.5250  -2.587814   5.092674  5.020676
130   1  0.5250  -3.019058   2.304984 18.469541
131   1  0.5250  -3.450302  -0.482706 31.918406
132   1  0.5250  -3.881546  -3.270396 45.367271
133   1  0.5250  -7.221563  13.612192  5.020676
134   1  0.5250  -7.652807  10.824502 18.469541
135   1  0.5250  -8.084051   8.036812 31.918406
136   1  0.5250  -8.515295   5.249122 45.367271
137   1  0.5250 -11.855312  22.131710  5.020676
138   1  0.5250 -12.286556  19.344020 18.469541
139   1  0.5250 -12.717800  16.556330 31.918406
140   1  0.5250 -13.149044  13.768640 45.367271
141   1  0.5250 -16.489061  30.651228  5.020676
142   1  0.5250 -16.920305  27.863538 18.469541
143   1  0.5250 -17.351549  25.075848 31.918406
144   1  0.5250 -17.782793  22.288158 45.367271
145   1  0.5250   6.872715   5.092674  5.020676
146   1  0.5250   6.441471   2.304984 18.469541
147   1  0.5250   6.010227  -0.482706 31.918406
148   1  0.5250   5.578983  -3.270396 45.367271
149   1  0.5250   2.238966  13.612192  5.020676
150   1  0.5250   1.807722  10.824502 18.469541
151   1  0.5250   1.376478   8.036812 31.918406
152   1  0.5250   0.945234   5.249122 45.367271
153   1  0.5250  -2.394783  22.131710  5.020676
154   1  0.5250  -2.826027  19.344020 18.469541
155   1  0.5250  -3.257271  16.556330 31.918406
156   1  0.5250  -3.688515  13.768640 45.367271
157   1  0.5250  -7.028532  30.651228  5.020676
158   1  0.5250  -7.459776  27.863538 18.469541
159   1  0.5250  -7.891020  25.075848 31.918406
160   1  0.5250  -8.322264  22.288158 45.367271
161   1  0.5250  16.333244   5.092674  5.020676
162   1  0.5250  15.902000   2.304984 18.469541
163   1  0.5250  15.470756  -0.482706 31.918406
164   1  0.5250  15.039512  -3.270396 45.367271
165   1  0.5250  11.699495  13.612192  5.020676
166   1  0.5250  11.268251  10.824502 18.469541
167   1  0.5250  10.837007   8.036812 31.918406
168   1  0.5250  10.405763   5.249122 45.367271
169   1  0.5250   7.065746  22.131710  5.020676
170   1  0.5250   6.634502  19.344020 18.469541
171   1  0.5250   6.203258  16.556330 31.918406
172   1  0.5250   5.772014  13.768640 45.367271
173   1  0.5250   2.431997  30.651228  5.020676
174   1  0.5250   2.000753  27.863538 18.469541
175   1  0.5250   1.569509  25.075848 31.918406
176   1  0.5250   1.138265  22.288158 45.367271
177   1  0.5250  25.793773   5.092674  5.020676
178   1  0.5250  25.362529   2.304984 18.469541
179   1  0.5250  24.931285  -0.482706 31.918406
180   1  0.5250  24.500041  -3.270396 45.367271
181   1  0.5250  21.160024  13.612192  5.020676
182   1  0.5250  20.728780  10.824502 18.469541
183   1  0.5250  20.297536   8.036812 31.918406
184   1  0.5250  19.866292   5.249122 45.367271
185   1  0.5250  16.526275  22.131710  5.020676
186   1  0.5250  16.095031  19.344020 18.469541
187   1  0.5250  15.663787  16.556330 31.918406
188   1  0.5250  15.232543  13.768640 45.367271
189   1  0.5250  11.892526  30.651228  5.020676
190   1  0.5250  11.461282  27.863538 18.469541
191   1  0.5250  11.030038  25.075848 31.918406
192   1  0.5250  10.598794  22.288158 45.367271
193   1  0.5250   6.983350   0.639154  8.428189
194   1  0.5250   6.552106  -2.148536 21.877054
195   1  0.5250   6.120862  -4.936226 35.325919
196   1  0.5250   5.689618  -7.723916 48.774784
197   1  0.5250   2.349601   9.158672  8.428189
198   1  0.5250   1.918357   6.370982 21.877054
199   1  0.5250   1.487113   3.583292 35.325919
200   1  0.5250   1.055869   0.795602 48.774784
201   1  0.5250  -2.284148  17.678190  8.428189
202   1  0.5250  -2.715392  14.890500 21.877054
203   1  0.5250  -3.146636  12.102810 35.325919
204   1  0.5250  -3.577880   9.315120 48.774784
205   1  0.5250  -6.917897  26.197708  8.428189
206   1  0.5250  -7.349141  23.410018 21.877054
207   1  0.5250  -7.780385  20.622328 35.325919
208   1  0.5250  -8.211629  17.834638 48.774784
209   1  0.5250  16.443879   0.639154  8.428189
210   1  0.5250  16.012635  -2.148536 21.877054
211   1  0.5250  15.581391  -4.936226 35.325919
212   1  0.5250  15.150147  -7.723916 48.774784
213   1  0.5250  11.810130   9.158672  8.428189
214   1  0.5250  11.378886   6.370982 21.877054
215   1  0.5250  10.947642   3.583292 35.325919
216   1  0.5250  10.516398   0.795602 48.774784
217   1  0.5250   7.176381  17.678190  8.428189
218   1  0.5250   6.745137  14.890500 21.877054
219   1  0.5250   6.313893  12.102810 35.325919
220   1  0.5250   5.882649   9.315120 48.774784
221   1  0.5250   2.542632  26.197708  8.428189
222   1  0.5250   2.111388  23.410018 21.877054
223   1  0.5250   1.680144  20.622328 35.325919
224   1  0.5250   1.248900  17.834638 48.774784
225   1  0.5250  25.904408   0.639154  8.428189
226   1  0.5250  25.473164  -2.148536 21.877054
227   1  0.5250  25.041920  -4.936226 35.325919
228   1  0.5250  24.610676  -7.723916 48.774784
