# Time-averaged data for fix frdfa
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
121000 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 1.08954e-05 8.4885e-07
24 1.41 4.99088e-05 5.0931e-06
25 1.47 8.29725e-05 1.27328e-05
26 1.53 0.000468001 5.94195e-05
27 1.59 0.00102728 0.00016977
28 1.65 0.00238177 0.000443949
29 1.71 0.00516751 0.00108144
30 1.77 0.00913523 0.00228426
31 1.83 0.0163841 0.00457955
32 1.89 0.026503 0.00851991
33 1.95 0.0414466 0.0150314
34 2.01 0.0597212 0.0249214
35 2.07 0.0858191 0.0398467
36 2.13 0.117222 0.0612072
37 2.19 0.156222 0.0909475
38 2.25 0.210882 0.132676
39 2.31 0.277666 0.189554
40 2.37 0.367991 0.267102
41 2.43 0.498173 0.374355
42 2.49 0.679408 0.522871
43 2.55 0.901417 0.723374
44 2.61 1.12441 0.979957
45 2.67 1.27611 1.28162
46 2.73 1.36996 1.61902
47 2.79 1.44608 1.98978
48 2.85 1.53052 2.39697
49 2.91 1.63133 2.84577
50 2.97 1.70983 3.33214
51 3.03 1.75486 3.84871
52 3.09 1.75567 4.38421
53 3.15 1.72424 4.92938
54 3.21 1.67076 5.4774
55 3.27 1.60633 6.02401
56 3.33 1.53415 6.56536
57 3.39 1.46412 7.10085
58 3.45 1.39651 7.63008
59 3.51 1.32478 8.15013
60 3.57 1.25869 8.66176
61 3.63 1.19701 9.16517
62 3.69 1.14187 9.66209
63 3.75 1.08969 10.1526
64 3.81 1.04149 10.6374
65 3.87 0.994694 11.116
66 3.93 0.952931 11.5898
67 3.99 0.916755 12.061
68 4.05 0.878648 12.5275
69 4.11 0.843679 12.9903
70 4.17 0.814978 13.4518
71 4.23 0.790485 13.9142
72 4.29 0.769004 14.3782
73 4.35 0.750911 14.8455
74 4.41 0.739195 15.3196
75 4.47 0.734441 15.8051
76 4.53 0.726499 16.2992
77 4.59 0.725411 16.8069
78 4.65 0.728473 17.3309
79 4.71 0.734309 17.8735
80 4.77 0.7459 18.4396
81 4.83 0.759723 19.0308
82 4.89 0.775841 19.6498
83 4.95 0.800764 20.3037
84 5.01 0.827109 20.9948
85 5.07 0.856648 21.7265
86 5.13 0.888998 22.5018
87 5.19 0.925167 23.3257
88 5.25 0.961517 24.1996
89 5.31 0.996152 25.1231
90 5.37 1.02929 26.0966
91 5.43 1.06254 27.1214
92 5.49 1.09094 28.1944
93 5.55 1.11948 29.3167
94 5.61 1.14469 30.4865
95 5.67 1.1663 31.7014
96 5.73 1.1824 32.9566
97 5.79 1.19474 34.2493
98 5.85 1.20325 35.5763
99 5.91 1.20493 36.931
100 5.97 1.20023 38.3067
101 6.03 1.18998 39.6976
102 6.09 1.17842 41.1024
103 6.15 1.16091 42.5139
104 6.21 1.14099 43.9289
105 6.27 1.11653 45.3415
106 6.33 1.09407 46.7538
107 6.39 1.07027 48.1632
108 6.45 1.04701 49.5703
109 6.51 1.02407 50.9739
110 6.57 1.00127 52.3738
111 6.63 0.980776 53.7727
112 6.69 0.963285 55.1738
113 6.75 0.948602 56.5805
114 6.81 0.934902 57.9938
115 6.87 0.924836 59.4181
116 6.93 0.915136 60.8541
117 6.99 0.908531 62.3061
118 7.05 0.904706 63.7778
119 7.11 0.90166 65.2712
120 7.17 0.901074 66.7895
121 7.23 0.901312 68.3345
122 7.29 0.90395 69.9103
123 7.35 0.90909 71.5217
124 7.41 0.91377 73.1683
125 7.47 0.920393 74.8537
126 7.53 0.926872 76.5779
127 7.59 0.936297 78.347
128 7.65 0.945188 80.1606
129 7.71 0.955343 82.0211
130 7.77 0.963943 83.9267
131 7.83 0.975204 85.8832
132 7.89 0.986565 87.8912
133 7.95 0.99638 89.9485
134 8.01 1.00603 92.0555
135 8.07 1.01626 94.2144
