Generated by pymatgen.io.lammps.data.LammpsData

3888  atoms

   4  atom types

0.000000 34.467276  xlo xhi
0.000000 35.320344  ylo yhi
0.000000 56.197284  zlo zhi
2.136102 13.449792 4.775052  xy xz yz

Masses

1  132.905452
2    6.941000
3   72.640000
4   15.999400

Atoms

125   1  0.7900 25.645246 10.854484 10.901008
126   1  0.7900  2.377794  9.844301  0.229908
127   4 -1.1825 30.975625  6.588533  6.414889
128   4 -1.1825 19.031098  0.975390  4.051247
129   2  0.5250 26.812074 18.209210 10.052473
130   3  2.1000 29.012054  7.249297  9.593485
131   4 -1.1825 28.366983  3.817507 13.822818
132   4 -1.1825 27.263848  6.210983  4.057839
133   4 -1.1825 17.114727  8.673453 12.618495
134   2  0.5250 20.031155  5.240133  1.411131
135   4 -1.1825 12.328653 14.665648  2.149240
136   4 -1.1825 30.855048  3.048414  1.618518
137   1  0.7900  2.467571  1.076096  3.145791
138   1  0.7900 34.876286  3.394218  4.814525
139   1  0.7900 27.753229 13.827963  6.050496
140   2  0.5250 27.094614  6.784606  6.768687
141   2  0.5250 12.589079  5.130788  0.202544
142   4 -1.1825 23.398879  5.663088  7.416760
143   3  2.1000 34.710254  9.104888 10.203811
144   4 -1.1825 21.070014  5.470596  8.930179
145   4 -1.1825 27.718852 18.159265 18.292203
146   2  0.5250  2.161044  4.556904  6.235977
147   2  0.5250 32.950271  6.975948  8.842781
148   2  0.5250  3.752382  6.254342  6.576664
149   2  0.5250 29.426976  1.397140 11.661645
150   2  0.5250 32.289027 10.672670  5.281420
151   2  0.5250 30.002361  4.520610  4.151139
152   4 -1.1825 34.730004  8.652034  0.753498
153   3  2.1000  9.793543  3.548575 17.395902
154   2  0.5250 16.049148  3.079023  6.364126
155   4 -1.1825 11.258946 13.396110  0.382046
156   4 -1.1825 35.250375  5.231068  8.053992
157   4 -1.1825 34.065793  6.400925  5.567138
158   1  0.7900 34.082926 15.467844 10.306527
159   2  0.5250 31.150391  5.903168 11.667723
160   4 -1.1825  3.999821 12.498636  5.432314
161   4 -1.1825  1.852283  7.275656  4.896598
162   1  0.7900 34.436125  6.532148  3.144392
163   4 -1.1825 16.794963 15.927055  5.931216
164   1  0.7900 11.119509  2.097127 18.517846
165   2  0.5250 35.229889  8.099554  7.005299
166   2  0.5250 10.992188 10.056432  5.487153
167   4 -1.1825 25.582394  2.169243  0.662302
168   3  2.1000  5.772000 12.288870  4.083381
169   3  2.1000  5.383669 10.963576  8.941536
170   1  0.7900 32.053702 16.861053  0.815103
171   4 -1.1825  9.838893 13.569550  5.232806
172   2  0.5250 13.614582  5.283292  9.736444
173   2  0.5250  7.471869  9.123617  9.078816
174   4 -1.1825  3.666767  8.969763  5.935260
175   3  2.1000  2.914934 14.758002  6.653421
176   2  0.5250 27.554625  6.118238 15.249266
177   4 -1.1825 16.563133 16.477613  8.456567
178   3  2.1000  9.219053  7.241415  8.587662
179   4 -1.1825 12.984535  9.975998  8.117970
180   4 -1.1825  8.348849 16.883979  5.200424
181   4 -1.1825  3.508923 13.849236  2.900505
182   4 -1.1825 31.859286 15.285034  3.593469
183   4 -1.1825 36.769377  7.055114 10.381277
184   4 -1.1825  2.932080 16.200646  3.512426
185   2  0.5250 25.288019  1.216894  8.648629
186   4 -1.1825  6.260249  1.375664 12.171767
187   2  0.5250 10.904222  8.177595  6.523622
188   1  0.7900  7.004696 17.336467 10.427128
189   4 -1.1825 23.999443 16.782566  3.282410
190   4 -1.1825 26.996371 16.753847  2.269410
191   4 -1.1825 35.617969 10.072527  2.443453
192   3  2.1000 24.658437  4.994116  1.240558
193   4 -1.1825 10.556000 16.899102  6.186176
194   3  2.1000 14.106260  7.441381  6.013150
195   4 -1.1825 21.632154  1.728712 10.096607
196   4 -1.1825 15.459429  4.682222  9.169902
197   3  2.1000 13.039388  8.717793  3.964482
198   4 -1.1825  8.728798  4.870733 15.804021
199   2  0.5250 19.363517 10.465211  0.338365
200   4 -1.1825 13.283102 11.055476  5.633564
201   4 -1.1825 12.065434 14.485874  9.299686
202   4 -1.1825 17.965364 17.238444 12.311461
203   4 -1.1825 10.545131 16.161022  8.230439
204   4 -1.1825  7.659551 11.663921  6.164861
205   4 -1.1825  3.896311 11.113459  2.394956
206   1  0.7900 17.174434  7.497115  2.117249
207   2  0.5250 12.750936 12.004043  3.342654
208   4 -1.1825  7.134262  9.842803  1.667469
209   3  2.1000 18.824238 12.485922  6.845447
210   4 -1.1825 15.503554  7.432566  8.490874
211   4 -1.1825  9.670233  9.889843  8.229631
212   4 -1.1825 10.558129 11.782084  3.171535
213   1  0.7900 24.018344 16.423256  0.107687
214   1  0.7900 15.991058  9.624351 18.559352
215   4 -1.1825  9.723720  7.658004  4.037147
216   2  0.5250 26.167090  1.386215  6.536813
217   4 -1.1825 12.518051  8.559725 10.424061
218   4 -1.1825 27.614082 15.188314  3.873543
219   2  0.5250 11.650585 12.161477  7.263698
220   3  2.1000 23.336826 16.798950 17.758564
221   4 -1.1825  7.769201 16.107296  7.895982
222   1  0.7900 11.641142 13.452663 12.210690
223   1  0.7900  9.017105 15.468911 10.395482
224   3  2.1000 27.206632  3.112326  2.714245
225   4 -1.1825 20.339029 13.451281  9.305115
226   4 -1.1825 14.960058 14.621181 10.908285
227   1  0.7900  6.740057 15.276267 12.327316
228   4 -1.1825 36.542369 15.872783 11.734397
229   3  2.1000  5.525035 10.418070  6.569291
230   1  0.7900 26.736314 17.411348 12.584719
231   4 -1.1825 29.738929  5.576220  1.455775
232   3  2.1000 31.479685  4.658113  0.069013
233   2  0.5250  3.607542  2.407751 12.660799
234   1  0.7900 21.275696  6.040625  5.313114
235   1  0.7900 30.215391  3.442950 11.435847
236   4 -1.1825 17.253383 10.132052  2.152944
237   1  0.7900 16.972621 11.640189  0.264584
238   2  0.5250 14.122687 13.275905  8.668155
239   1  0.7900 17.689432 13.931903  5.096957
240   3  2.1000 24.771253 16.625392  8.845263
241   1  0.7900 16.779541 13.865010  7.487866
242   1  0.7900 26.431188 13.081089  3.926329
243   4 -1.1825 23.803171  7.001025  1.714579
244   4 -1.1825 21.651345 12.143083  7.204085
245   2  0.5250 22.005941  2.901930  5.247549
246   1  0.7900  9.054022  7.759287  0.176329
247   2  0.5250 14.807600 10.339364  2.259797
248   1  0.7900 15.451277  9.250279  4.445886
249   4 -1.1825 27.480557 11.069391  5.258407
250   1  0.7900 12.302453 13.949467  5.972291
251   4 -1.1825 21.988663  9.936180  6.265572
252   2  0.5250 19.841064 14.236925  3.239031
253   2  0.5250 17.465359 12.085298  9.007375
254   4 -1.1825 29.129216 14.634651 18.149800
255   4 -1.1825 16.673543 13.208520  2.769929
256   4 -1.1825 32.889110 10.300802  0.149733
257   2  0.5250 35.105051  7.250709 16.872664
258   4 -1.1825  9.053609 12.152779  1.425395
259   4 -1.1825 18.768153  3.115907  1.731730
260   2  0.5250 14.116606  4.016550 16.106412
261   1  0.7900 14.216235 16.224459  8.360756
262   4 -1.1825 31.945830  4.555332 15.744929
263   4 -1.1825 20.212546  4.254259  6.851575
264   4 -1.1825 21.246794 15.611801  1.067784
265   3  2.1000 20.236404 10.908601  9.549331
266   2  0.5250 15.015935 17.052135 11.085886
267   2  0.5250 35.778785  3.219136 15.867538
268   1  0.7900 15.431790 11.947968 10.995119
269   1  0.7900 20.147304  8.507018  5.229000
270   2  0.5250 25.098688 11.736198  2.165371
271   1  0.7900 30.257156 13.195399  4.656290
272   2  0.5250 27.496460  8.822256  5.119275
273   4 -1.1825 22.381475 14.990931  6.233308
274   4 -1.1825  6.702430  4.552171 11.659992
275   4 -1.1825 26.608025 15.657503 17.242709
276   2  0.5250 35.824750 17.927462 12.349698
277   1  0.7900 35.560352 17.447654  9.792411
278   4 -1.1825 33.826602  2.536484  8.720068
279   2  0.5250 28.988858 15.307695  0.777887
280   2  0.5250 28.738522  2.076145  6.961676
281   1  0.7900 26.930663 11.576937  7.688060
282   2  0.5250 13.868968 14.874029  3.773441
283   1  0.7900 28.623595 16.510333 10.233651
284   1  0.7900  5.162608 15.821766  0.969622
285   4 -1.1825 15.750078  6.479709  4.779308
286   4 -1.1825 27.599545  8.930375 11.087630
287   4 -1.1825 31.061395 11.759061  8.407381
288   1  0.7900 24.131311 10.734530  4.756572
289   1  0.7900 33.697493 11.096865  3.374890
290   4 -1.1825 17.442702 11.245584  4.023485
291   1  0.7900 14.071356  2.769857 18.568338
292   4 -1.1825 29.368771 12.801688  1.305928
293   1  0.7900 34.278007 15.184425  1.210684
294   1  0.7900 33.160774  2.186514 16.992433
295   4 -1.1825 18.691414 12.290296  2.274363
296   4 -1.1825 16.432539  1.714753  8.893485
297   4 -1.1825 24.933628 10.460333  8.794492
298   1  0.7900 33.014063 13.097701  5.115511
299   4 -1.1825 31.594615  8.297755 10.369394
300   3  2.1000 17.734101  4.890252  6.102447
301   1  0.7900 31.344405 18.465115 13.484164
302   3  2.1000 30.267628  7.756946 12.752429
303   1  0.7900 29.011722 10.153464  8.297310
304   4 -1.1825 22.092641 12.770677 12.872825
305   1  0.7900 21.184937 12.491216  4.834208
306   1  0.7900 24.604850  7.714841  8.881136
307   1  0.7900 29.850070 11.229868  5.901627
308   1  0.7900  2.046409 11.681685  4.743071
309   1  0.7900 24.180674 12.353716  6.433888
310   4 -1.1825  4.968038  2.776744  9.681630
311   1  0.7900  4.631042  9.084076 16.079498
312   4 -1.1825 29.949740  6.769957  4.277745
313   2  0.5250 35.136222  9.635723  4.927804
314   2  0.5250 11.459365 16.309533  0.555572
315   3  2.1000  3.115653 10.654476  9.473365
316   4 -1.1825 33.447889 10.640036  7.990099
317   4 -1.1825 33.863371 12.809959  0.396379
318   2  0.5250 32.380203  4.668671  4.664464
319   4 -1.1825 24.977737  4.027720 12.725886
320   3  2.1000 18.982156 14.323089 16.974369
321   1  0.7900 29.903502  4.309040  6.809068
322   1  0.7900 35.313012 14.872658  4.420316
323   4 -1.1825 26.568643 17.096632  6.146026
324   4 -1.1825 27.487237 14.969456 12.188793
325   2  0.5250 32.149013 12.947090  2.474387
326   1  0.7900 13.125489  1.759905 12.010044
327   4 -1.1825  4.812558 15.655192 10.513083
328   3  2.1000 33.422463 17.224084  5.003994
329   3  2.1000 37.160612 11.412963 14.660289
330   4 -1.1825 16.619368  2.045734 13.389574
331   2  0.5250  3.571505  7.974026  8.451397
332   4 -1.1825 11.556824  5.469756 10.179209
333   4 -1.1825  7.486966 14.525537  5.494782
334   4 -1.1825 12.387896  3.388372  5.037977
335   4 -1.1825 12.479269 18.147798 15.258781
336   4 -1.1825 21.622182 17.263732 14.076552
337   4 -1.1825 10.194724  1.369688  9.101924
338   2  0.5250  7.103103  9.209909 12.838305
339   3  2.1000  3.847034  5.537938 11.817101
340   2  0.5250 32.372517  5.342510 13.435207
341   3  2.1000 11.736151 11.260627 13.360227
342   1  0.7900 33.969380  5.605527 15.096951
343   3  2.1000 33.676509  1.085909  6.377525
344   1  0.7900  5.196494 10.554138 14.085035
345   3  2.1000  4.883396  8.318618 11.118894
346   1  0.7900 32.507444  2.220443  4.066888
347   1  0.7900 37.899361  6.955396 16.775727
348   1  0.7900  6.311591  7.527579 18.063783
349   4 -1.1825 36.485763 16.065658 17.365135
