Generated by pymatgen.io.lammps.data.LammpsData

3888  atoms

   4  atom types

0.000000 34.467276  xlo xhi
0.000000 35.320344  ylo yhi
0.000000 56.197284  zlo zhi
2.136102 13.449792 4.775052  xy xz yz

Masses

1  132.905452
2    6.941000
3   72.640000
4   15.999400

Atoms

128   1  0.7900 24.083525 20.809760 18.617842
129   1  0.7900 26.325157 21.605602 27.984056
130   1  0.7900 28.566789 22.401444 37.350270
131   1  0.7900 30.808421 23.197286 46.716484
132   1  0.7900 33.050053 23.993128 56.082698
133   1  0.7900 22.197910 25.900642  9.251628
134   1  0.7900 24.439542 26.696484 18.617842
135   1  0.7900 26.681174 27.492326 27.984056
136   1  0.7900 28.922806 28.288168 37.350270
137   1  0.7900 31.164438 29.084010 46.716484
138   1  0.7900 33.406070 29.879852 56.082698
139   1  0.7900 22.553927 31.787366  9.251628
140   1  0.7900 24.795559 32.583208 18.617842
141   1  0.7900 27.037191 33.379050 27.984056
142   1  0.7900 29.278823 34.174892 37.350270
143   1  0.7900 31.520455 34.970734 46.716484
144   1  0.7900 33.762087 35.766576 56.082698
145   1  0.7900 26.518388  2.353746  9.251628
146   1  0.7900 28.760020  3.149588 18.617842
147   1  0.7900 31.001652  3.945430 27.984056
148   1  0.7900 33.243284  4.741272 37.350270
149   1  0.7900 35.484916  5.537114 46.716484
150   1  0.7900 37.726548  6.332956 56.082698
151   1  0.7900 26.874405  8.240470  9.251628
152   1  0.7900 29.116037  9.036312 18.617842
153   1  0.7900 31.357669  9.832154 27.984056
154   1  0.7900 33.599301 10.627996 37.350270
155   1  0.7900 35.840933 11.423838 46.716484
156   1  0.7900 38.082565 12.219680 56.082698
157   1  0.7900 27.230422 14.127194  9.251628
158   1  0.7900 29.472054 14.923036 18.617842
159   1  0.7900 31.713686 15.718878 27.984056
160   1  0.7900 33.955318 16.514720 37.350270
161   1  0.7900 36.196950 17.310562 46.716484
162   1  0.7900 38.438582 18.106404 56.082698
163   1  0.7900 27.586439 20.013918  9.251628
164   1  0.7900 29.828071 20.809760 18.617842
165   1  0.7900 32.069703 21.605602 27.984056
166   1  0.7900 34.311335 22.401444 37.350270
167   1  0.7900 36.552967 23.197286 46.716484
168   1  0.7900 38.794599 23.993128 56.082698
169   1  0.7900 27.942456 25.900642  9.251628
170   1  0.7900 30.184088 26.696484 18.617842
171   1  0.7900 32.425720 27.492326 27.984056
172   1  0.7900 34.667352 28.288168 37.350270
173   1  0.7900 36.908984 29.084010 46.716484
174   1  0.7900 39.150616 29.879852 56.082698
175   1  0.7900 28.298473 31.787366  9.251628
176   1  0.7900 30.540105 32.583208 18.617842
177   1  0.7900 32.781737 33.379050 27.984056
178   1  0.7900 35.023369 34.174892 37.350270
179   1  0.7900 37.265001 34.970734 46.716484
180   1  0.7900 39.506633 35.766576 56.082698
181   1  0.7900 32.262934  2.353746  9.251628
182   1  0.7900 34.504566  3.149588 18.617842
183   1  0.7900 36.746198  3.945430 27.984056
184   1  0.7900 38.987830  4.741272 37.350270
185   1  0.7900 41.229462  5.537114 46.716484
186   1  0.7900 43.471094  6.332956 56.082698
187   1  0.7900 32.618951  8.240470  9.251628
188   1  0.7900 34.860583  9.036312 18.617842
189   1  0.7900 37.102215  9.832154 27.984056
190   1  0.7900 39.343847 10.627996 37.350270
191   1  0.7900 41.585479 11.423838 46.716484
192   1  0.7900 43.827111 12.219680 56.082698
193   1  0.7900 32.974968 14.127194  9.251628
194   1  0.7900 35.216600 14.923036 18.617842
195   1  0.7900 37.458232 15.718878 27.984056
196   1  0.7900 39.699864 16.514720 37.350270
197   1  0.7900 41.941496 17.310562 46.716484
198   1  0.7900 44.183128 18.106404 56.082698
199   1  0.7900 33.330985 20.013918  9.251628
200   1  0.7900 35.572617 20.809760 18.617842
201   1  0.7900 37.814249 21.605602 27.984056
202   1  0.7900 40.055881 22.401444 37.350270
203   1  0.7900 42.297513 23.197286 46.716484
204   1  0.7900 44.539145 23.993128 56.082698
205   1  0.7900 33.687002 25.900642  9.251628
206   1  0.7900 35.928634 26.696484 18.617842
207   1  0.7900 38.170266 27.492326 27.984056
208   1  0.7900 40.411898 28.288168 37.350270
209   1  0.7900 42.653530 29.084010 46.716484
210   1  0.7900 44.895162 29.879852 56.082698
211   1  0.7900 34.043019 31.787366  9.251628
212   1  0.7900 36.284651 32.583208 18.617842
213   1  0.7900 38.526283 33.379050 27.984056
214   1  0.7900 40.767915 34.174892 37.350270
215   1  0.7900 43.009547 34.970734 46.716484
216   1  0.7900 45.251179 35.766576 56.082698
217   1  0.7900  4.801991  4.328820  0.114586
218   1  0.7900  7.043623  5.124662  9.480800
219   1  0.7900  9.285255  5.920504 18.847014
220   1  0.7900 11.526887  6.716346 28.213228
221   1  0.7900 13.768519  7.512188 37.579442
222   1  0.7900 16.010151  8.308030 46.945656
223   1  0.7900  5.158008 10.215544  0.114586
224   1  0.7900  7.399640 11.011386  9.480800
225   1  0.7900  9.641272 11.807228 18.847014
226   1  0.7900 11.882904 12.603070 28.213228
227   1  0.7900 14.124536 13.398912 37.579442
228   1  0.7900 16.366168 14.194754 46.945656
229   1  0.7900  5.514025 16.102268  0.114586
230   1  0.7900  7.755657 16.898110  9.480800
231   1  0.7900  9.997289 17.693952 18.847014
232   1  0.7900 12.238921 18.489794 28.213228
233   1  0.7900 14.480553 19.285636 37.579442
234   1  0.7900 16.722185 20.081478 46.945656
235   1  0.7900  5.870042 21.988992  0.114586
236   1  0.7900  8.111674 22.784834  9.480800
237   1  0.7900 10.353306 23.580676 18.847014
238   1  0.7900 12.594938 24.376518 28.213228
