Generated by pymatgen.io.lammps.data.LammpsData

3200  atoms

   4  atom types

0.000000 22.461078  xlo xhi
0.000000 53.608416  ylo yhi
0.000000 31.862463  zlo zhi
5.170074 -0.677431 4.256297  xy xz yz

Masses

1   6.9410
2  51.9961
3  28.0855
4  15.9994

Atoms

127   1  0.5250 24.730184 50.725401 23.110298
128   1  0.5250 24.560826 51.789475 31.075914
129   1  0.5250  2.392854  6.075346  0.786557
130   1  0.5250  2.223497  7.139421  8.752172
131   1  0.5250  2.054139  8.203495 16.717788
132   1  0.5250  1.884782  9.267569 24.683404
133   1  0.5250  3.685373 19.477450  0.786557
134   1  0.5250  3.516015 20.541525  8.752172
135   1  0.5250  3.346658 21.605599 16.717788
136   1  0.5250  3.177300 22.669673 24.683404
137   1  0.5250  4.977891 32.879555  0.786557
138   1  0.5250  4.808534 33.943629  8.752172
139   1  0.5250  4.639176 35.007703 16.717788
140   1  0.5250  4.469818 36.071777 24.683404
141   1  0.5250  6.270410 46.281659  0.786557
142   1  0.5250  6.101052 47.345733  8.752172
143   1  0.5250  5.931694 48.409807 16.717788
144   1  0.5250  5.762337 49.473881 24.683404
145   1  0.5250  8.008124  6.075346  0.786557
146   1  0.5250  7.838766  7.139421  8.752172
147   1  0.5250  7.669409  8.203495 16.717788
148   1  0.5250  7.500051  9.267569 24.683404
149   1  0.5250  9.300642 19.477450  0.786557
150   1  0.5250  9.131285 20.541525  8.752172
151   1  0.5250  8.961927 21.605599 16.717788
152   1  0.5250  8.792569 22.669673 24.683404
153   1  0.5250 10.593161 32.879555  0.786557
154   1  0.5250 10.423803 33.943629  8.752172
155   1  0.5250 10.254446 35.007703 16.717788
156   1  0.5250 10.085088 36.071777 24.683404
157   1  0.5250 11.885679 46.281659  0.786557
158   1  0.5250 11.716322 47.345733  8.752172
159   1  0.5250 11.546964 48.409807 16.717788
160   1  0.5250 11.377606 49.473881 24.683404
161   1  0.5250 13.623393  6.075346  0.786557
162   1  0.5250 13.454036  7.139421  8.752172
163   1  0.5250 13.284678  8.203495 16.717788
164   1  0.5250 13.115320  9.267569 24.683404
165   1  0.5250 14.915912 19.477450  0.786557
166   1  0.5250 14.746554 20.541525  8.752172
167   1  0.5250 14.577197 21.605599 16.717788
