Generated by pymatgen.io.lammps.data.LammpsData

3072  atoms

   4  atom types

0.000000 32.733538  xlo xhi
0.000000 28.348074  ylo yhi
0.000000 43.054100  zlo zhi
-16.366771 0.000000 0.000000  xy xz yz

Masses

1  137.3270
2    6.9410
3   28.0855
4   15.9994

Atoms

126   1 0.0000  16.937706 21.261056 13.200645
127   1 0.0000  16.937706 21.261056 23.964170
128   1 0.0000  16.937706 21.261056 34.727695
129   1 0.0000   1.760377  3.049062  2.437120
130   1 0.0000   1.760377  3.049062 13.200645
131   1 0.0000   1.760377  3.049062 23.964170
132   1 0.0000   1.760377  3.049062 34.727695
133   1 0.0000  -2.331316 10.136081  2.437120
134   1 0.0000  -2.331316 10.136081 13.200645
135   1 0.0000  -2.331316 10.136081 23.964170
136   1 0.0000  -2.331316 10.136081 34.727695
137   1 0.0000  -6.423009 17.223099  2.437120
138   1 0.0000  -6.423009 17.223099 13.200645
139   1 0.0000  -6.423009 17.223099 23.964170
140   1 0.0000  -6.423009 17.223099 34.727695
141   1 0.0000 -10.514701 24.310118  2.437120
142   1 0.0000 -10.514701 24.310118 13.200645
143   1 0.0000 -10.514701 24.310118 23.964170
144   1 0.0000 -10.514701 24.310118 34.727695
145   1 0.0000   9.943761  3.049062  2.437120
146   1 0.0000   9.943761  3.049062 13.200645
147   1 0.0000   9.943761  3.049062 23.964170
148   1 0.0000   9.943761  3.049062 34.727695
149   1 0.0000   5.852068 10.136081  2.437120
150   1 0.0000   5.852068 10.136081 13.200645
151   1 0.0000   5.852068 10.136081 23.964170
152   1 0.0000   5.852068 10.136081 34.727695
153   1 0.0000   1.760376 17.223099  2.437120
154   1 0.0000   1.760376 17.223099 13.200645
155   1 0.0000   1.760376 17.223099 23.964170
156   1 0.0000   1.760376 17.223099 34.727695
157   1 0.0000  -2.331317 24.310118  2.437120
158   1 0.0000  -2.331317 24.310118 13.200645
159   1 0.0000  -2.331317 24.310118 23.964170
160   1 0.0000  -2.331317 24.310118 34.727695
161   1 0.0000  18.127146  3.049062  2.437120
162   1 0.0000  18.127146  3.049062 13.200645
163   1 0.0000  18.127146  3.049062 23.964170
164   1 0.0000  18.127146  3.049062 34.727695
165   1 0.0000  14.035453 10.136081  2.437120
166   1 0.0000  14.035453 10.136081 13.200645
167   1 0.0000  14.035453 10.136081 23.964170
168   1 0.0000  14.035453 10.136081 34.727695
169   1 0.0000   9.943760 17.223099  2.437120
170   1 0.0000   9.943760 17.223099 13.200645
171   1 0.0000   9.943760 17.223099 23.964170
172   1 0.0000   9.943760 17.223099 34.727695
173   1 0.0000   5.852067 24.310118  2.437120
174   1 0.0000   5.852067 24.310118 13.200645
175   1 0.0000   5.852067 24.310118 23.964170
176   1 0.0000   5.852067 24.310118 34.727695
177   1 0.0000  26.310530  3.049062  2.437120
178   1 0.0000  26.310530  3.049062 13.200645
179   1 0.0000  26.310530  3.049062 23.964170
180   1 0.0000  26.310530  3.049062 34.727695
181   1 0.0000  22.218837 10.136081  2.437120
182   1 0.0000  22.218837 10.136081 13.200645
183   1 0.0000  22.218837 10.136081 23.964170
184   1 0.0000  22.218837 10.136081 34.727695
185   1 0.0000  18.127145 17.223099  2.437120
186   1 0.0000  18.127145 17.223099 13.200645
187   1 0.0000  18.127145 17.223099 23.964170
188   1 0.0000  18.127145 17.223099 34.727695
189   1 0.0000  14.035452 24.310118  2.437120
190   1 0.0000  14.035452 24.310118 13.200645
191   1 0.0000  14.035452 24.310118 23.964170
192   1 0.0000  14.035452 24.310118 34.727695
193   1 0.0000  30.402222  4.037956  2.437120
194   1 0.0000  30.402222  4.037956 13.200645
195   1 0.0000  30.402222  4.037956 23.964170
196   1 0.0000  30.402222  4.037956 34.727695
197   1 0.0000  26.310530 11.124975  2.437120
198   1 0.0000  26.310530 11.124975 13.200645
199   1 0.0000  26.310530 11.124975 23.964170
200   1 0.0000  26.310530 11.124975 34.727695
201   1 0.0000  22.218837 18.211994  2.437120
202   1 0.0000  22.218837 18.211994 13.200645
203   1 0.0000  22.218837 18.211994 23.964170
204   1 0.0000  22.218837 18.211994 34.727695
205   1 0.0000  18.127144 25.299012  2.437120
206   1 0.0000  18.127144 25.299012 13.200645
207   1 0.0000  18.127144 25.299012 23.964170
208   1 0.0000  18.127144 25.299012 34.727695
209   1 0.0000   5.852069  4.037956  2.437120
210   1 0.0000   5.852069  4.037956 13.200645
211   1 0.0000   5.852069  4.037956 23.964170
212   1 0.0000   5.852069  4.037956 34.727695
213   1 0.0000   1.760376 11.124975  2.437120
214   1 0.0000   1.760376 11.124975 13.200645
215   1 0.0000   1.760376 11.124975 23.964170
216   1 0.0000   1.760376 11.124975 34.727695
217   1 0.0000  -2.331317 18.211994  2.437120
218   1 0.0000  -2.331317 18.211994 13.200645
219   1 0.0000  -2.331317 18.211994 23.964170
220   1 0.0000  -2.331317 18.211994 34.727695
221   1 0.0000  -6.423009 25.299012  2.437120
222   1 0.0000  -6.423009 25.299012 13.200645
223   1 0.0000  -6.423009 25.299012 23.964170
224   1 0.0000  -6.423009 25.299012 34.727695
225   1 0.0000  14.035453  4.037956  2.437120
226   1 0.0000  14.035453  4.037956 13.200645
227   1 0.0000  14.035453  4.037956 23.964170
228   1 0.0000  14.035453  4.037956 34.727695
229   1 0.0000   9.943761 11.124975  2.437120
230   1 0.0000   9.943761 11.124975 13.200645
231   1 0.0000   9.943761 11.124975 23.964170
232   1 0.0000   9.943761 11.124975 34.727695
