# Time-averaged data for fix frdf
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
871400 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0 0
38 2.25 9.00517e-05 7.93103e-06
39 2.31 0.00125708 0.000122759
40 2.37 0.0135777 0.00142621
41 2.43 0.0746013 0.00893069
42 2.49 0.26635 0.0370672
43 2.55 0.652955 0.109553
44 2.61 1.1879 0.248078
45 2.67 1.704 0.456521
46 2.73 2.03778 0.71761
47 2.79 2.13096 1.00308
48 2.85 2.00479 1.28361
49 2.91 1.74607 1.53845
50 2.97 1.4416 1.75774
51 3.03 1.17265 1.94351
52 3.09 0.965085 2.10257
53 3.15 0.83033 2.24488
54 3.21 0.763627 2.38082
55 3.27 0.740596 2.51773
56 3.33 0.756984 2.66287
57 3.39 0.791571 2.82021
58 3.45 0.838058 2.99274
59 3.51 0.882323 3.18071
60 3.57 0.927581 3.3852
61 3.63 0.965339 3.60523
62 3.69 0.997958 3.84029
63 3.75 1.02221 4.08895
64 3.81 1.04773 4.35203
65 3.87 1.06983 4.6291
66 3.93 1.09458 4.9214
67 3.99 1.11828 5.22915
68 4.05 1.14573 5.55392
69 4.11 1.16864 5.895
70 4.17 1.19701 6.25452
71 4.23 1.22049 6.63158
72 4.29 1.24123 7.02586
73 4.35 1.25942 7.43702
74 4.41 1.27043 7.8632
75 4.47 1.26636 8.2995
76 4.53 1.25273 8.74264
77 4.59 1.22344 9.1868
78 4.65 1.18676 9.62889
79 4.71 1.14686 10.0671
80 4.77 1.10473 10.5
81 4.83 1.06684 10.9285
82 4.89 1.02874 11.3519
83 4.95 1.00064 11.7739
84 5.01 0.97568 12.1953
85 5.07 0.95476 12.6176
86 5.13 0.938972 13.0428
87 5.19 0.927836 13.4729
88 5.25 0.918221 13.9085
89 5.31 0.915199 14.3527
90 5.37 0.909416 14.8043
91 5.43 0.905404 15.2642
92 5.49 0.901057 15.7321
93 5.55 0.893996 16.2067
94 5.61 0.88777 16.6884
95 5.67 0.883117 17.1778
96 5.73 0.878823 17.6754
97 5.79 0.875922 18.1818
98 5.85 0.87916 18.7007
99 5.91 0.88351 19.233
100 5.97 0.890588 19.7805
101 6.03 0.900969 20.3456
102 6.09 0.915467 20.9314
103 6.15 0.929829 21.5382
104 6.21 0.946698 22.1681
105 6.27 0.962338 22.8209
106 6.33 0.977365 23.4967
107 6.39 0.993219 24.1965
108 6.45 1.00697 24.9193
109 6.51 1.0186 25.6643
110 6.57 1.02865 26.4305
111 6.63 1.03695 27.217
112 6.69 1.04255 28.0222
113 6.75 1.04476 28.8436
114 6.81 1.0461 29.6807
115 6.87 1.04445 30.5313
116 6.93 1.04129 31.3941
117 6.99 1.03844 32.2696
118 7.05 1.03324 33.1556
119 7.11 1.02871 34.0528
120 7.17 1.02243 34.9596
121 7.23 1.01729 35.877
122 7.29 1.01236 36.8052
123 7.35 1.00967 37.7462
124 7.41 1.0052 38.6984
125 7.47 1.00224 39.6632
126 7.53 0.999831 40.6412
127 7.59 1.00024 41.6353
128 7.65 1.00009 42.645
129 7.71 0.999095 43.6695
130 7.77 1.0008 44.7118
131 7.83 1.00251 45.772
132 7.89 1.00292 46.849
133 7.95 1.00314 47.9426
134 8.01 1.00422 49.054
135 8.07 1.00618 50.1843
136 8.13 1.00632 51.3316
137 8.19 1.00635 52.4958
138 8.25 1.00659 53.6774
139 8.31 1.00536 54.8747
140 8.37 1.0045 56.0883
141 8.43 1.00276 57.3172
142 8.49 1.00011 58.5603
143 8.55 0.998364 59.8188
