LAMMPS data file via write_data, version 29 Aug 2024, timestep = 50474, units = metal

4875 atoms
4 atom types

-76.30446324726286 104.66416724728744 xlo xhi
-66.0815979230535 90.64181992307297 ylo yhi
-286.25875113742893 392.65113112540627 zlo zhi
-90.48434077200932 0 0 xy xz yz

Masses

1 6.941
2 180.94788
3 15.9994
4 18.998403

Atoms # charge

1055 2 -2 -71.83744174285833 -65.930504599465 -285.8802386565111 0 0 1
1311 2 -2 -32.00733392493467 -65.92254631816054 -283.7417626296608 0 1 0
4826 4 1 -30.824569626368095 -65.42615825745652 -281.8445919273612 0 0 0
2723 4 1 -7.9185186227836795 -63.88123464680743 -285.8228008909492 2 5 1
3519 4 1 -44.14504064729236 -57.90407148041892 -280.7950600236855 0 1 1
2405 3 0 10.699766187345602 -45.63943586450088 -282.6396807149369 3 0 1
1704 3 0 -60.50191496488444 -33.62008620126045 -282.9972852763342 3 3 1
4766 4 1 -94.9057734679752 -30.262033768457968 -286.2571988881063 0 1 0
2522 3 0 -30.88942360403599 -28.12055289320856 -282.64009663240904 0 0 0
4037 4 1 -22.62424760931905 -25.207087908495197 -283.6186064999291 0 0 0
896 2 -2 -21.41431355021338 -24.10923774067396 -281.9777845984563 0 1 0
2656 4 1 -20.10717818242245 -22.954368782061167 -280.45269597261836 0 0 0
322 1 -1 49.596629734051305 -21.645325138515112 -285.1285768698054 0 -4 0
1374 2 -2 -4.454314495702789 -14.057417490817066 -279.76058905226387 0 0 1
3200 4 1 -2.3656573584368203 -14.67731984601901 -280.4667252649927 -1 0 1
4099 4 1 15.348381777588344 -3.502694285275446 -284.50671993395633 -3 -2 1
4657 4 1 27.420049016000462 -5.530020106818817 -282.8904250781801 -2 -2 0
428 1 -1 27.884292629569487 -7.848512175120987 -282.39224519434833 -2 -3 0
2799 4 1 55.74502277558729 -8.849835357003911 -284.997099116804 -1 0 1
925 2 -2 56.82749002640081 -6.863765095629056 -284.6167822013547 -1 0 1
4684 4 1 57.8351577527355 -4.832960368107251 -284.2412163314855 -1 -1 1
1480 2 -2 -36.21993607860029 2.8611051233800424 -286.1692273447987 -1 -1 1
4494 4 1 -36.638339089126305 2.656212819341306 -283.92617898788956 -1 0 1
3835 4 1 -98.28507388464688 10.844112932458259 -280.72371008624344 1 -1 1
2270 3 0 -99.25965073257672 14.085988205197538 -279.6917933270135 2 2 0
3695 4 1 24.135800680711355 14.306637699973493 -282.98286940749097 0 0 1
965 2 -2 25.996808771900987 15.473666802873382 -282.35339254607146 0 0 1
2964 4 1 27.877294506281984 16.600844062071275 -281.71897305358556 0 0 1
4334 4 1 -68.15348347117038 25.043409384667186 -283.78992333245225 0 0 1
1030 2 -2 -68.34974643122383 27.134331615550877 -282.8029575744571 -1 -1 1
3895 4 1 -67.45658909669389 28.05491278106041 -280.7959489812672 -1 0 1
3504 4 1 -68.82387984862231 29.023103609145664 -284.0844837037173 -1 0 1
377 1 -1 -64.9143919620457 30.89322763017418 -280.13582205684156 1 3 1
4755 4 1 -20.868180967704596 26.714337065444553 -282.0127763439559 -2 -1 1
486 1 -1 -20.78393197447346 26.56369956664679 -284.34827603357866 0 0 0
375 1 -1 -21.2120408663056 27.121215900824964 -279.7124301183241 -2 -1 1
3798 4 1 -75.13845491523244 38.42114620752653 -281.42737157741664 0 -1 1
638 1 -1 -73.20745563352898 37.96270386121421 -282.77993890671064 0 -1 1
1010 2 -2 35.77279646797565 40.283592728263955 -284.09621725871136 -2 0 1
4786 4 1 35.17672513871567 39.77235221889845 -281.9515551832159 -1 1 0
2970 4 1 36.304461076560145 40.94809054213687 -286.2202203898386 -1 0 1
2739 4 1 -96.00120589338309 51.119084276253545 -284.16364793321287 2 -1 0
668 1 -1 -94.187067791332 52.31763449159175 -282.7698049736644 2 -1 0
2744 4 1 -93.49849234026328 52.82600208780062 -285.15161254226786 0 0 1
3336 4 1 -8.098718555200179 50.824143851236 -284.83432548601724 -1 0 0
1638 3 0 11.611813839253216 69.15236653273101 -282.9912219119797 -1 0 1
1045 2 -2 -77.40059016834736 74.29946788604389 -285.0414490160231 0 0 1
4539 4 1 -75.5575280356936 75.03136116040412 -283.82958541304436 0 0 1
109 1 -1 -66.98606300181946 72.70121936180769 -279.7274562476892 0 1 0
2357 3 0 13.867983735022776 81.38030801883008 -283.25266684744463 1 0 0
1542 3 0 17.067732721104363 77.80022991763201 -282.4083257186391 -4 -2 0
4790 4 1 -162.72495694108477 88.65499121458134 -285.17857621726944 0 0 1
3306 4 1 -123.62367942860334 90.26197766370973 -285.6635975673032 0 0 0
2066 3 0 -119.51371353974102 90.38074458011596 -284.79171549261224 3 -1 0
28 1 -1 -97.90012056148986 90.42310314607627 -285.3681220951202 2 4 1
3190 4 1 81.16318554019294 -64.70749644250338 -273.3978035201347 -1 0 1
217 1 -1 79.60794694357092 -65.82807382181609 -274.9483925475549 3 3 1
1174 2 -2 -43.50471548193509 -57.14838259235613 -278.71301862844865 0 1 1
3469 4 1 -42.88907264910672 -56.48857580306313 -276.5984036483131 1 1 1
3003 4 1 8.280420462974632 -52.47217212099314 -273.9579163680612 -2 -2 1
1371 2 -2 40.41227171691092 -17.879467205736823 -272.1538640158472 -1 0 0
4075 4 1 -86.89961908766566 -10.199055099242244 -273.84626723443824 0 0 1
2169 3 0 -53.88075201602639 -10.327036444079582 -274.04713901159204 3 0 0
4424 4 1 -6.627425517673785 -13.757891607178252 -279.0978826886552 -1 0 1
3610 4 1 40.665859389335424 -15.669329851810886 -272.6915465046803 -1 -1 1
