Generated by pymatgen.io.lammps.data.LammpsData

4875  atoms

   4  atom types

0.000000 28.359704  xlo xhi
0.000000 24.560222  ylo yhi
0.000000 106.392380  zlo zhi
-14.179856 0.000000 0.000000  xy xz yz

Masses

1    6.941000
2  180.947880
3   15.999400
4   18.998403

Atoms

126   1 0.0000   4.087030  2.687537  11.164242
127   1 0.0000   4.087030  2.687537  32.442718
128   1 0.0000   4.087030  2.687537  53.721194
129   1 0.0000   4.087030  2.687537  74.999670
130   1 0.0000   4.087030  2.687537  96.278146
131   1 0.0000   1.251059  7.599581  11.164242
132   1 0.0000   1.251059  7.599581  32.442718
133   1 0.0000   1.251059  7.599581  53.721194
134   1 0.0000   1.251059  7.599581  74.999670
135   1 0.0000   1.251059  7.599581  96.278146
136   1 0.0000  -1.584912 12.511625  11.164242
137   1 0.0000  -1.584912 12.511625  32.442718
138   1 0.0000  -1.584912 12.511625  53.721194
139   1 0.0000  -1.584912 12.511625  74.999670
140   1 0.0000  -1.584912 12.511625  96.278146
141   1 0.0000  -4.420883 17.423670  11.164242
142   1 0.0000  -4.420883 17.423670  32.442718
143   1 0.0000  -4.420883 17.423670  53.721194
144   1 0.0000  -4.420883 17.423670  74.999670
145   1 0.0000  -4.420883 17.423670  96.278146
146   1 0.0000  -7.256855 22.335714  11.164242
147   1 0.0000  -7.256855 22.335714  32.442718
148   1 0.0000  -7.256855 22.335714  53.721194
149   1 0.0000  -7.256855 22.335714  74.999670
150   1 0.0000  -7.256855 22.335714  96.278146
151   1 0.0000   9.758971  2.687537  11.164242
152   1 0.0000   9.758971  2.687537  32.442718
153   1 0.0000   9.758971  2.687537  53.721194
154   1 0.0000   9.758971  2.687537  74.999670
155   1 0.0000   9.758971  2.687537  96.278146
156   1 0.0000   6.923000  7.599581  11.164242
157   1 0.0000   6.923000  7.599581  32.442718
158   1 0.0000   6.923000  7.599581  53.721194
159   1 0.0000   6.923000  7.599581  74.999670
160   1 0.0000   6.923000  7.599581  96.278146
161   1 0.0000   4.087028 12.511625  11.164242
162   1 0.0000   4.087028 12.511625  32.442718
163   1 0.0000   4.087028 12.511625  53.721194
164   1 0.0000   4.087028 12.511625  74.999670
165   1 0.0000   4.087028 12.511625  96.278146
166   1 0.0000   1.251057 17.423670  11.164242
167   1 0.0000   1.251057 17.423670  32.442718
168   1 0.0000   1.251057 17.423670  53.721194
169   1 0.0000   1.251057 17.423670  74.999670
170   1 0.0000   1.251057 17.423670  96.278146
171   1 0.0000  -1.584914 22.335714  11.164242
172   1 0.0000  -1.584914 22.335714  32.442718
173   1 0.0000  -1.584914 22.335714  53.721194
174   1 0.0000  -1.584914 22.335714  74.999670
175   1 0.0000  -1.584914 22.335714  96.278146
176   1 0.0000  15.430911  2.687537  11.164242
177   1 0.0000  15.430911  2.687537  32.442718
178   1 0.0000  15.430911  2.687537  53.721194
179   1 0.0000  15.430911  2.687537  74.999670
180   1 0.0000  15.430911  2.687537  96.278146
181   1 0.0000  12.594940  7.599581  11.164242
182   1 0.0000  12.594940  7.599581  32.442718
183   1 0.0000  12.594940  7.599581  53.721194
184   1 0.0000  12.594940  7.599581  74.999670
185   1 0.0000  12.594940  7.599581  96.278146
186   1 0.0000   9.758969 12.511625  11.164242
187   1 0.0000   9.758969 12.511625  32.442718
188   1 0.0000   9.758969 12.511625  53.721194
189   1 0.0000   9.758969 12.511625  74.999670
190   1 0.0000   9.758969 12.511625  96.278146
191   1 0.0000   6.922998 17.423670  11.164242
192   1 0.0000   6.922998 17.423670  32.442718
193   1 0.0000   6.922998 17.423670  53.721194
194   1 0.0000   6.922998 17.423670  74.999670
195   1 0.0000   6.922998 17.423670  96.278146
196   1 0.0000   4.087027 22.335714  11.164242
197   1 0.0000   4.087027 22.335714  32.442718
198   1 0.0000   4.087027 22.335714  53.721194
199   1 0.0000   4.087027 22.335714  74.999670
200   1 0.0000   4.087027 22.335714  96.278146
201   1 0.0000  21.102852  2.687537  11.164242
202   1 0.0000  21.102852  2.687537  32.442718
203   1 0.0000  21.102852  2.687537  53.721194
204   1 0.0000  21.102852  2.687537  74.999670
205   1 0.0000  21.102852  2.687537  96.278146
206   1 0.0000  18.266881  7.599581  11.164242
207   1 0.0000  18.266881  7.599581  32.442718
208   1 0.0000  18.266881  7.599581  53.721194
209   1 0.0000  18.266881  7.599581  74.999670
210   1 0.0000  18.266881  7.599581  96.278146
211   1 0.0000  15.430910 12.511625  11.164242
212   1 0.0000  15.430910 12.511625  32.442718
213   1 0.0000  15.430910 12.511625  53.721194
214   1 0.0000  15.430910 12.511625  74.999670
215   1 0.0000  15.430910 12.511625  96.278146
216   1 0.0000  12.594939 17.423670  11.164242
217   1 0.0000  12.594939 17.423670  32.442718
218   1 0.0000  12.594939 17.423670  53.721194
219   1 0.0000  12.594939 17.423670  74.999670
220   1 0.0000  12.594939 17.423670  96.278146
221   1 0.0000   9.758968 22.335714  11.164242
222   1 0.0000   9.758968 22.335714  32.442718
223   1 0.0000   9.758968 22.335714  53.721194
224   1 0.0000   9.758968 22.335714  74.999670
225   1 0.0000   9.758968 22.335714  96.278146
226   1 0.0000  26.774793  2.687537  11.164242
227   1 0.0000  26.774793  2.687537  32.442718
228   1 0.0000  26.774793  2.687537  53.721194
229   1 0.0000  26.774793  2.687537  74.999670
230   1 0.0000  26.774793  2.687537  96.278146
231   1 0.0000  23.938822  7.599581  11.164242
232   1 0.0000  23.938822  7.599581  32.442718
233   1 0.0000  23.938822  7.599581  53.721194
234   1 0.0000  23.938822  7.599581  74.999670
235   1 0.0000  23.938822  7.599581  96.278146
236   1 0.0000  21.102851 12.511625  11.164242
237   1 0.0000  21.102851 12.511625  32.442718
238   1 0.0000  21.102851 12.511625  53.721194
239   1 0.0000  21.102851 12.511625  74.999670
240   1 0.0000  21.102851 12.511625  96.278146
241   1 0.0000  18.266880 17.423670  11.164242
242   1 0.0000  18.266880 17.423670  32.442718
243   1 0.0000  18.266880 17.423670  53.721194
244   1 0.0000  18.266880 17.423670  74.999670
245   1 0.0000  18.266880 17.423670  96.278146
246   1 0.0000  15.430908 22.335714  11.164242
247   1 0.0000  15.430908 22.335714  32.442718
248   1 0.0000  15.430908 22.335714  53.721194
249   1 0.0000  15.430908 22.335714  74.999670
250   1 0.0000  15.430908 22.335714  96.278146
251   1 0.0000   1.300953  2.195699  18.257081
252   1 0.0000   1.300953  2.195699  39.535557
253   1 0.0000   1.300953  2.195699  60.814033
254   1 0.0000   1.300953  2.195699  82.092509
255   1 0.0000   1.300953  2.195699 103.370985
256   1 0.0000  -1.535018  7.107743  18.257081
257   1 0.0000  -1.535018  7.107743  39.535557
258   1 0.0000  -1.535018  7.107743  60.814033
259   1 0.0000  -1.535018  7.107743  82.092509
260   1 0.0000  -1.535018  7.107743 103.370985
261   1 0.0000  -4.370989 12.019787  18.257081
262   1 0.0000  -4.370989 12.019787  39.535557
263   1 0.0000  -4.370989 12.019787  60.814033
264   1 0.0000  -4.370989 12.019787  82.092509
265   1 0.0000  -4.370989 12.019787 103.370985
266   1 0.0000  -7.206961 16.931832  18.257081
267   1 0.0000  -7.206961 16.931832  39.535557
268   1 0.0000  -7.206961 16.931832  60.814033
269   1 0.0000  -7.206961 16.931832  82.092509
270   1 0.0000  -7.206961 16.931832 103.370985
271   1 0.0000 -10.042932 21.843876  18.257081
272   1 0.0000 -10.042932 21.843876  39.535557
273   1 0.0000 -10.042932 21.843876  60.814033
274   1 0.0000 -10.042932 21.843876  82.092509
275   1 0.0000 -10.042932 21.843876 103.370985
276   1 0.0000   6.972894  2.195699  18.257081
277   1 0.0000   6.972894  2.195699  39.535557
278   1 0.0000   6.972894  2.195699  60.814033
279   1 0.0000   6.972894  2.195699  82.092509
280   1 0.0000   6.972894  2.195699 103.370985
281   1 0.0000   4.136922  7.107743  18.257081
282   1 0.0000   4.136922  7.107743  39.535557
283   1 0.0000   4.136922  7.107743  60.814033
284   1 0.0000   4.136922  7.107743  82.092509
285   1 0.0000   4.136922  7.107743 103.370985
286   1 0.0000   1.300951 12.019787  18.257081
287   1 0.0000   1.300951 12.019787  39.535557
288   1 0.0000   1.300951 12.019787  60.814033
289   1 0.0000   1.300951 12.019787  82.092509
290   1 0.0000   1.300951 12.019787 103.370985
291   1 0.0000  -1.535020 16.931832  18.257081
292   1 0.0000  -1.535020 16.931832  39.535557
293   1 0.0000  -1.535020 16.931832  60.814033
294   1 0.0000  -1.535020 16.931832  82.092509
295   1 0.0000  -1.535020 16.931832 103.370985
296   1 0.0000  -4.370991 21.843876  18.257081
297   1 0.0000  -4.370991 21.843876  39.535557
298   1 0.0000  -4.370991 21.843876  60.814033
299   1 0.0000  -4.370991 21.843876  82.092509
300   1 0.0000  -4.370991 21.843876 103.370985
301   1 0.0000  12.644834  2.195699  18.257081
302   1 0.0000  12.644834  2.195699  39.535557
303   1 0.0000  12.644834  2.195699  60.814033
304   1 0.0000  12.644834  2.195699  82.092509
305   1 0.0000  12.644834  2.195699 103.370985
306   1 0.0000   9.808863  7.107743  18.257081
307   1 0.0000   9.808863  7.107743  39.535557
308   1 0.0000   9.808863  7.107743  60.814033
309   1 0.0000   9.808863  7.107743  82.092509
310   1 0.0000   9.808863  7.107743 103.370985
311   1 0.0000   6.972892 12.019787  18.257081
312   1 0.0000   6.972892 12.019787  39.535557
313   1 0.0000   6.972892 12.019787  60.814033
314   1 0.0000   6.972892 12.019787  82.092509
315   1 0.0000   6.972892 12.019787 103.370985
316   1 0.0000   4.136921 16.931832  18.257081
317   1 0.0000   4.136921 16.931832  39.535557
318   1 0.0000   4.136921 16.931832  60.814033
319   1 0.0000   4.136921 16.931832  82.092509
320   1 0.0000   4.136921 16.931832 103.370985
321   1 0.0000   1.300950 21.843876  18.257081
322   1 0.0000   1.300950 21.843876  39.535557
323   1 0.0000   1.300950 21.843876  60.814033
324   1 0.0000   1.300950 21.843876  82.092509
325   1 0.0000   1.300950 21.843876 103.370985
326   1 0.0000  18.316775  2.195699  18.257081
327   1 0.0000  18.316775  2.195699  39.535557
328   1 0.0000  18.316775  2.195699  60.814033
329   1 0.0000  18.316775  2.195699  82.092509
330   1 0.0000  18.316775  2.195699 103.370985
331   1 0.0000  15.480804  7.107743  18.257081
332   1 0.0000  15.480804  7.107743  39.535557
333   1 0.0000  15.480804  7.107743  60.814033
334   1 0.0000  15.480804  7.107743  82.092509
335   1 0.0000  15.480804  7.107743 103.370985
336   1 0.0000  12.644833 12.019787  18.257081
337   1 0.0000  12.644833 12.019787  39.535557
338   1 0.0000  12.644833 12.019787  60.814033
339   1 0.0000  12.644833 12.019787  82.092509
340   1 0.0000  12.644833 12.019787 103.370985
341   1 0.0000   9.808862 16.931832  18.257081
342   1 0.0000   9.808862 16.931832  39.535557
343   1 0.0000   9.808862 16.931832  60.814033
344   1 0.0000   9.808862 16.931832  82.092509
345   1 0.0000   9.808862 16.931832 103.370985
346   1 0.0000   6.972891 21.843876  18.257081
347   1 0.0000   6.972891 21.843876  39.535557
348   1 0.0000   6.972891 21.843876  60.814033
349   1 0.0000   6.972891 21.843876  82.092509
350   1 0.0000   6.972891 21.843876 103.370985
351   1 0.0000  23.988716  2.195699  18.257081
352   1 0.0000  23.988716  2.195699  39.535557
353   1 0.0000  23.988716  2.195699  60.814033
354   1 0.0000  23.988716  2.195699  82.092509
355   1 0.0000  23.988716  2.195699 103.370985
356   1 0.0000  21.152745  7.107743  18.257081
357   1 0.0000  21.152745  7.107743  39.535557
358   1 0.0000  21.152745  7.107743  60.814033
359   1 0.0000  21.152745  7.107743  82.092509
360   1 0.0000  21.152745  7.107743 103.370985
361   1 0.0000  18.316774 12.019787  18.257081
362   1 0.0000  18.316774 12.019787  39.535557
363   1 0.0000  18.316774 12.019787  60.814033
364   1 0.0000  18.316774 12.019787  82.092509
365   1 0.0000  18.316774 12.019787 103.370985
366   1 0.0000  15.480802 16.931832  18.257081
367   1 0.0000  15.480802 16.931832  39.535557
368   1 0.0000  15.480802 16.931832  60.814033
