Generated by pymatgen.io.lammps.data.LammpsData

3888  atoms

   4  atom types

0.000000 33.325006  xlo xhi
0.000000 34.453639  ylo yhi
0.000000 53.784475  zlo zhi
1.570908 13.086226 5.221077  xy xz yz

Masses

1  132.905452
2    6.941000
3   28.085500
4   15.999400

Atoms

128   1  0.7900 23.173869 19.225720 11.514535
129   1  0.7900 25.354907 20.095900 20.478614
130   1  0.7900 27.535945 20.966079 29.442693
131   1  0.7900 29.716982 21.836259 38.406772
132   1  0.7900 31.898020 22.706438 47.370851
133   1  0.7900 21.254650 24.097814  2.550455
134   1  0.7900 23.435687 24.967994 11.514535
135   1  0.7900 25.616725 25.838173 20.478614
136   1  0.7900 27.797763 26.708353 29.442693
137   1  0.7900 29.978800 27.578532 38.406772
138   1  0.7900 32.159838 28.448712 47.370851
139   1  0.7900 21.516467 29.840087  2.550455
140   1  0.7900 23.697505 30.710267 11.514535
141   1  0.7900 25.878543 31.580446 20.478614
142   1  0.7900 28.059581 32.450626 29.442693
143   1  0.7900 30.240618 33.320805 38.406772
144   1  0.7900 32.421656 34.190985 47.370851
145   1  0.7900 25.761545  1.128721  2.550455
146   1  0.7900 27.942583  1.998901 11.514535
147   1  0.7900 30.123621  2.869080 20.478614
148   1  0.7900 32.304658  3.739260 29.442693
149   1  0.7900 34.485696  4.609439 38.406772
150   1  0.7900 36.666734  5.479619 47.370851
151   1  0.7900 26.023363  6.870994  2.550455
152   1  0.7900 28.204401  7.741174 11.514535
153   1  0.7900 30.385439  8.611353 20.478614
154   1  0.7900 32.566476  9.481533 29.442693
155   1  0.7900 34.747514 10.351712 38.406772
156   1  0.7900 36.928552 11.221892 47.370851
157   1  0.7900 26.285181 12.613268  2.550455
158   1  0.7900 28.466219 13.483447 11.514535
159   1  0.7900 30.647257 14.353627 20.478614
160   1  0.7900 32.828294 15.223806 29.442693
161   1  0.7900 35.009332 16.093986 38.406772
162   1  0.7900 37.190370 16.964165 47.370851
163   1  0.7900 26.546999 18.355541  2.550455
164   1  0.7900 28.728037 19.225720 11.514535
165   1  0.7900 30.909075 20.095900 20.478614
166   1  0.7900 33.090112 20.966079 29.442693
167   1  0.7900 35.271150 21.836259 38.406772
168   1  0.7900 37.452188 22.706438 47.370851
169   1  0.7900 26.808817 24.097814  2.550455
170   1  0.7900 28.989855 24.967994 11.514535
171   1  0.7900 31.170892 25.838173 20.478614
172   1  0.7900 33.351930 26.708353 29.442693
173   1  0.7900 35.532968 27.578532 38.406772
174   1  0.7900 37.714006 28.448712 47.370851
175   1  0.7900 27.070635 29.840087  2.550455
176   1  0.7900 29.251673 30.710267 11.514535
177   1  0.7900 31.432710 31.580446 20.478614
178   1  0.7900 33.613748 32.450626 29.442693
179   1  0.7900 35.794786 33.320805 38.406772
180   1  0.7900 37.975824 34.190985 47.370851
181   1  0.7900 31.315713  1.128721  2.550455
182   1  0.7900 33.496750  1.998901 11.514535
183   1  0.7900 35.677788  2.869080 20.478614
184   1  0.7900 37.858826  3.739260 29.442693
185   1  0.7900 40.039864  4.609439 38.406772
186   1  0.7900 42.220901  5.479619 47.370851
187   1  0.7900 31.577531  6.870994  2.550455
188   1  0.7900 33.758568  7.741174 11.514535
189   1  0.7900 35.939606  8.611353 20.478614
190   1  0.7900 38.120644  9.481533 29.442693
191   1  0.7900 40.301682 10.351712 38.406772
192   1  0.7900 42.482719 11.221892 47.370851
193   1  0.7900 31.839349 12.613268  2.550455
