Generated by pymatgen.io.lammps.data.LammpsData

3500  atoms

   4  atom types

0.000000 30.147895  xlo xhi
0.000000 26.108910  ylo yhi
0.000000 49.015660  zlo zhi
-15.073913 0.000436 -0.000760  xy xz yz

Masses

1    6.941000
2   54.938045
3  121.760000
4   15.999400

Atoms

126   1 0.0000  -3.014669  5.221627  9.667506
127   1 0.0000  -3.014582  5.221475 19.470638
128   1 0.0000  -3.014495  5.221323 29.273770
129   1 0.0000  -3.014408  5.221171 39.076902
130   1 0.0000  -3.014320  5.221018 48.880034
131   1 0.0000  -6.029452 10.443409  9.667506
132   1 0.0000  -6.029365 10.443257 19.470638
133   1 0.0000  -6.029277 10.443105 29.273770
134   1 0.0000  -6.029190 10.442953 39.076902
135   1 0.0000  -6.029103 10.442800 48.880034
136   1 0.0000  -9.044234 15.665191  9.667506
137   1 0.0000  -9.044147 15.665039 19.470638
138   1 0.0000  -9.044060 15.664887 29.273770
139   1 0.0000  -9.043973 15.664735 39.076902
140   1 0.0000  -9.043885 15.664582 48.880034
141   1 0.0000 -12.059017 20.886973  9.667506
142   1 0.0000 -12.058930 20.886821 19.470638
143   1 0.0000 -12.058842 20.886669 29.273770
144   1 0.0000 -12.058755 20.886517 39.076902
145   1 0.0000 -12.058668 20.886364 48.880034
146   1 0.0000 -15.073799 26.108755  9.667506
147   1 0.0000 -15.073712 26.108603 19.470638
148   1 0.0000 -15.073625 26.108451 29.273770
149   1 0.0000 -15.073538 26.108299 39.076902
150   1 0.0000 -15.073450 26.108146 48.880034
151   1 0.0000   3.014910  5.221627  9.667506
152   1 0.0000   3.014997  5.221475 19.470638
153   1 0.0000   3.015084  5.221323 29.273770
154   1 0.0000   3.015171  5.221171 39.076902
155   1 0.0000   3.015259  5.221018 48.880034
156   1 0.0000   0.000127 10.443409  9.667506
157   1 0.0000   0.000214 10.443257 19.470638
158   1 0.0000   0.000302 10.443105 29.273770
159   1 0.0000   0.000389 10.442953 39.076902
160   1 0.0000   0.000476 10.442800 48.880034
161   1 0.0000  -3.014655 15.665191  9.667506
162   1 0.0000  -3.014568 15.665039 19.470638
163   1 0.0000  -3.014481 15.664887 29.273770
164   1 0.0000  -3.014394 15.664735 39.076902
165   1 0.0000  -3.014306 15.664582 48.880034
166   1 0.0000  -6.029438 20.886973  9.667506
167   1 0.0000  -6.029351 20.886821 19.470638
168   1 0.0000  -6.029263 20.886669 29.273770
169   1 0.0000  -6.029176 20.886517 39.076902
170   1 0.0000  -6.029089 20.886364 48.880034
171   1 0.0000  -9.044220 26.108755  9.667506
172   1 0.0000  -9.044133 26.108603 19.470638
173   1 0.0000  -9.044046 26.108451 29.273770
174   1 0.0000  -9.043959 26.108299 39.076902
175   1 0.0000  -9.043871 26.108146 48.880034
176   1 0.0000   9.044489  5.221627  9.667506
177   1 0.0000   9.044576  5.221475 19.470638
178   1 0.0000   9.044663  5.221323 29.273770
179   1 0.0000   9.044750  5.221171 39.076902
180   1 0.0000   9.044838  5.221018 48.880034
181   1 0.0000   6.029706 10.443409  9.667506
182   1 0.0000   6.029793 10.443257 19.470638
183   1 0.0000   6.029881 10.443105 29.273770
184   1 0.0000   6.029968 10.442953 39.076902
185   1 0.0000   6.030055 10.442800 48.880034
186   1 0.0000   3.014924 15.665191  9.667506
187   1 0.0000   3.015011 15.665039 19.470638
188   1 0.0000   3.015098 15.664887 29.273770
189   1 0.0000   3.015185 15.664735 39.076902
190   1 0.0000   3.015273 15.664582 48.880034
191   1 0.0000   0.000141 20.886973  9.667506
192   1 0.0000   0.000228 20.886821 19.470638
193   1 0.0000   0.000316 20.886669 29.273770
194   1 0.0000   0.000403 20.886517 39.076902
195   1 0.0000   0.000490 20.886364 48.880034
196   1 0.0000  -3.014641 26.108755  9.667506
197   1 0.0000  -3.014554 26.108603 19.470638
198   1 0.0000  -3.014467 26.108451 29.273770
199   1 0.0000  -3.014380 26.108299 39.076902
200   1 0.0000  -3.014292 26.108146 48.880034
201   1 0.0000  15.074068  5.221627  9.667506
202   1 0.0000  15.074155  5.221475 19.470638
203   1 0.0000  15.074242  5.221323 29.273770
204   1 0.0000  15.074329  5.221171 39.076902
205   1 0.0000  15.074417  5.221018 48.880034
206   1 0.0000  12.059285 10.443409  9.667506
207   1 0.0000  12.059372 10.443257 19.470638
208   1 0.0000  12.059460 10.443105 29.273770
209   1 0.0000  12.059547 10.442953 39.076902
210   1 0.0000  12.059634 10.442800 48.880034
211   1 0.0000   9.044503 15.665191  9.667506
212   1 0.0000   9.044590 15.665039 19.470638
213   1 0.0000   9.044677 15.664887 29.273770
214   1 0.0000   9.044764 15.664735 39.076902
215   1 0.0000   9.044852 15.664582 48.880034
216   1 0.0000   6.029720 20.886973  9.667506
217   1 0.0000   6.029807 20.886821 19.470638
218   1 0.0000   6.029895 20.886669 29.273770
219   1 0.0000   6.029982 20.886517 39.076902
220   1 0.0000   6.030069 20.886364 48.880034
221   1 0.0000   3.014938 26.108755  9.667506
222   1 0.0000   3.015025 26.108603 19.470638
223   1 0.0000   3.015112 26.108451 29.273770
224   1 0.0000   3.015199 26.108299 39.076902
225   1 0.0000   3.015287 26.108146 48.880034
226   1 0.0000  21.103647  5.221627  9.667506
227   1 0.0000  21.103734  5.221475 19.470638
228   1 0.0000  21.103821  5.221323 29.273770
229   1 0.0000  21.103908  5.221171 39.076902
230   1 0.0000  21.103996  5.221018 48.880034
231   1 0.0000  18.088864 10.443409  9.667506
232   1 0.0000  18.088951 10.443257 19.470638
233   1 0.0000  18.089039 10.443105 29.273770
234   1 0.0000  18.089126 10.442953 39.076902
235   1 0.0000  18.089213 10.442800 48.880034
236   1 0.0000  15.074082 15.665191  9.667506
237   1 0.0000  15.074169 15.665039 19.470638
238   1 0.0000  15.074256 15.664887 29.273770
239   1 0.0000  15.074343 15.664735 39.076902
240   1 0.0000  15.074431 15.664582 48.880034
241   1 0.0000  12.059299 20.886973  9.667506
242   1 0.0000  12.059386 20.886821 19.470638
243   1 0.0000  12.059474 20.886669 29.273770
244   1 0.0000  12.059561 20.886517 39.076902
245   1 0.0000  12.059648 20.886364 48.880034
246   1 0.0000   9.044517 26.108755  9.667506
247   1 0.0000   9.044604 26.108603 19.470638
248   1 0.0000   9.044691 26.108451 29.273770
249   1 0.0000   9.044778 26.108299 39.076902
250   1 0.0000   9.044866 26.108146 48.880034
251   1 0.0000   3.014821  5.221687  4.765920
252   1 0.0000   3.014908  5.221535 14.569052
253   1 0.0000   3.014995  5.221383 24.372184
254   1 0.0000   3.015083  5.221231 34.175316
255   1 0.0000   3.015170  5.221079 43.978448
256   1 0.0000   0.000038 10.443469  4.765920
257   1 0.0000   0.000126 10.443317 14.569052
258   1 0.0000   0.000213 10.443165 24.372184
259   1 0.0000   0.000300 10.443013 34.175316
260   1 0.0000   0.000387 10.442861 43.978448
261   1 0.0000  -3.014744 15.665251  4.765920
262   1 0.0000  -3.014657 15.665099 14.569052
263   1 0.0000  -3.014570 15.664947 24.372184
264   1 0.0000  -3.014482 15.664795 34.175316
265   1 0.0000  -3.014395 15.664643 43.978448
266   1 0.0000  -6.029527 20.887033  4.765920
267   1 0.0000  -6.029440 20.886881 14.569052
268   1 0.0000  -6.029352 20.886729 24.372184
269   1 0.0000  -6.029265 20.886577 34.175316
270   1 0.0000  -6.029178 20.886425 43.978448
271   1 0.0000  -9.044309 26.108815  4.765920
272   1 0.0000  -9.044222 26.108663 14.569052
273   1 0.0000  -9.044135 26.108511 24.372184
274   1 0.0000  -9.044048 26.108359 34.175316
275   1 0.0000  -9.043960 26.108207 43.978448
276   1 0.0000   9.044400  5.221687  4.765920
277   1 0.0000   9.044487  5.221535 14.569052
278   1 0.0000   9.044574  5.221383 24.372184
279   1 0.0000   9.044662  5.221231 34.175316
280   1 0.0000   9.044749  5.221079 43.978448
281   1 0.0000   6.029617 10.443469  4.765920
282   1 0.0000   6.029705 10.443317 14.569052
283   1 0.0000   6.029792 10.443165 24.372184
284   1 0.0000   6.029879 10.443013 34.175316
285   1 0.0000   6.029966 10.442861 43.978448
286   1 0.0000   3.014835 15.665251  4.765920
287   1 0.0000   3.014922 15.665099 14.569052
288   1 0.0000   3.015009 15.664947 24.372184
289   1 0.0000   3.015097 15.664795 34.175316
290   1 0.0000   3.015184 15.664643 43.978448
291   1 0.0000   0.000052 20.887033  4.765920
292   1 0.0000   0.000139 20.886881 14.569052
293   1 0.0000   0.000227 20.886729 24.372184
294   1 0.0000   0.000314 20.886577 34.175316
295   1 0.0000   0.000401 20.886425 43.978448
296   1 0.0000  -3.014730 26.108815  4.765920
297   1 0.0000  -3.014643 26.108663 14.569052
298   1 0.0000  -3.014556 26.108511 24.372184
299   1 0.0000  -3.014469 26.108359 34.175316
300   1 0.0000  -3.014381 26.108207 43.978448
301   1 0.0000  15.073979  5.221687  4.765920
302   1 0.0000  15.074066  5.221535 14.569052
303   1 0.0000  15.074153  5.221383 24.372184
304   1 0.0000  15.074241  5.221231 34.175316
305   1 0.0000  15.074328  5.221079 43.978448
306   1 0.0000  12.059196 10.443469  4.765920
307   1 0.0000  12.059284 10.443317 14.569052
308   1 0.0000  12.059371 10.443165 24.372184
309   1 0.0000  12.059458 10.443013 34.175316
310   1 0.0000  12.059545 10.442861 43.978448
311   1 0.0000   9.044414 15.665251  4.765920
312   1 0.0000   9.044501 15.665099 14.569052
313   1 0.0000   9.044588 15.664947 24.372184
314   1 0.0000   9.044676 15.664795 34.175316
315   1 0.0000   9.044763 15.664643 43.978448
316   1 0.0000   6.029631 20.887033  4.765920
317   1 0.0000   6.029718 20.886881 14.569052
318   1 0.0000   6.029806 20.886729 24.372184
319   1 0.0000   6.029893 20.886577 34.175316
320   1 0.0000   6.029980 20.886425 43.978448
321   1 0.0000   3.014849 26.108815  4.765920
322   1 0.0000   3.014936 26.108663 14.569052
323   1 0.0000   3.015023 26.108511 24.372184
324   1 0.0000   3.015110 26.108359 34.175316
325   1 0.0000   3.015198 26.108207 43.978448
326   1 0.0000  21.103558  5.221687  4.765920
327   1 0.0000  21.103645  5.221535 14.569052
328   1 0.0000  21.103732  5.221383 24.372184
329   1 0.0000  21.103820  5.221231 34.175316
330   1 0.0000  21.103907  5.221079 43.978448
331   1 0.0000  18.088775 10.443469  4.765920
332   1 0.0000  18.088863 10.443317 14.569052
333   1 0.0000  18.088950 10.443165 24.372184
334   1 0.0000  18.089037 10.443013 34.175316
335   1 0.0000  18.089124 10.442861 43.978448
336   1 0.0000  15.073993 15.665251  4.765920
337   1 0.0000  15.074080 15.665099 14.569052
338   1 0.0000  15.074167 15.664947 24.372184
339   1 0.0000  15.074255 15.664795 34.175316
340   1 0.0000  15.074342 15.664643 43.978448
341   1 0.0000  12.059210 20.887033  4.765920
342   1 0.0000  12.059297 20.886881 14.569052
343   1 0.0000  12.059385 20.886729 24.372184
344   1 0.0000  12.059472 20.886577 34.175316
345   1 0.0000  12.059559 20.886425 43.978448
346   1 0.0000   9.044428 26.108815  4.765920
347   1 0.0000   9.044515 26.108663 14.569052
348   1 0.0000   9.044602 26.108511 24.372184
349   1 0.0000   9.044689 26.108359 34.175316
350   1 0.0000   9.044777 26.108207 43.978448
351   1 0.0000  27.133137  5.221687  4.765920
352   1 0.0000  27.133224  5.221535 14.569052
353   1 0.0000  27.133311  5.221383 24.372184
354   1 0.0000  27.133399  5.221231 34.175316
355   1 0.0000  27.133486  5.221079 43.978448
356   1 0.0000  24.118354 10.443469  4.765920
357   1 0.0000  24.118442 10.443317 14.569052
358   1 0.0000  24.118529 10.443165 24.372184
359   1 0.0000  24.118616 10.443013 34.175316
360   1 0.0000  24.118703 10.442861 43.978448
361   1 0.0000  21.103572 15.665251  4.765920
362   1 0.0000  21.103659 15.665099 14.569052
363   1 0.0000  21.103746 15.664947 24.372184
364   1 0.0000  21.103834 15.664795 34.175316
365   1 0.0000  21.103921 15.664643 43.978448
366   1 0.0000  18.088789 20.887033  4.765920
367   1 0.0000  18.088876 20.886881 14.569052
368   1 0.0000  18.088964 20.886729 24.372184
