LAMMPS data file via write_data, version 29 Aug 2024, timestep = 114006, units = metal

3500 atoms
4 atom types

-209.71147833024074 239.85937333732372 xlo xhi
-181.61593417565183 207.7248441709767 ylo yhi
-340.95735440900523 389.9730144026356 zlo zhi
-224.78491136360813 0.006501710694132959 -0.011333257173258645 xy xz yz

Masses

1 6.941
2 54.938045
3 121.76
4 15.9994

Atoms # charge

617 2 3 86.54483465137636 -172.53895295092872 -333.92698397103726 -2 0 1
2999 4 1 -47.50028461611038 -161.49159716330132 -334.08227083118805 2 0 1
1153 2 3 193.95480583750205 -159.06625390248374 -336.6633790553857 3 3 1
1760 4 1 -173.87433648157767 -136.76314441109625 -334.0711962406422 2 2 1
2147 4 1 5.058867842542014 -136.90831652568005 -339.2789323220653 2 2 1
71 1 2 111.38200538735069 -124.76021086646958 -335.74604346732167 -4 -1 1
865 2 3 82.20915148607239 -113.04147620827342 -338.5120037688412 1 1 2
371 1 2 -39.10858570925953 -105.31282643603524 -335.26652095054 0 0 0
2346 4 1 -166.06219418086448 -71.07777119440418 -335.58226050001855 1 6 -1
1343 3 -2 160.21686945924725 -61.23768119931991 -340.6268604054239 0 2 0
593 2 3 161.1527791164057 -60.61081009571045 -338.8432835947293 0 2 0
2268 4 1 58.692346375910944 -40.78126268449114 -337.2095741341895 -2 -2 0
15 1 2 138.00382529222745 -41.77028112387177 -336.34507930736754 2 2 0
307 1 2 -123.88916694345447 -34.16396098531689 -334.5872459299335 3 5 1
95 1 2 -217.44451528113638 -7.541019347958297 -340.8693804552941 -2 0 1
3264 4 1 122.18908158447212 -0.02248373924200564 -336.99769890704795 -2 -1 1
2112 4 1 30.440543548400626 -177.650052808262 -331.1297587268646 0 1 0
1239 2 3 117.24762483294919 -167.78995311094482 -328.3605603895313 -2 0 1
2882 4 1 -142.71239912570303 -165.27430311329493 -330.1292770184982 1 0 1
2625 4 1 -46.58760592470469 -164.7304636374889 -332.44708639366587 2 0 1
1499 3 -2 -45.60798305361271 -162.69889715410278 -333.1381488331977 2 0 1
500 1 2 -43.56606990196812 -162.05597138383752 -332.8332163467492 2 0 1
2129 4 1 154.93277167227578 -164.88122262149722 -330.8306099735458 2 7 -1
2056 4 1 220.3984366128797 -161.0149866695592 -332.10353988117396 0 1 -1
2235 4 1 -114.7123471032924 -153.0758358732984 -332.88806069121284 4 0 0
3148 4 1 -100.35624990473397 -155.6626687624191 -330.07593096349467 -1 -1 2
3350 4 1 7.477612320673018 -151.090472315816 -327.9082478726332 1 1 1
2661 4 1 -175.62991806222115 -103.7895419383654 -332.7892159370387 1 0 0
739 2 3 52.27442433569527 -108.92557733200506 -328.95490196121733 0 1 1
3216 4 1 164.77308911791394 -104.73881220041594 -332.04157686002844 0 -1 -1
585 2 3 -236.01231691647848 -61.93661509654201 -333.48625920233746 1 2 1
1335 3 -2 -236.45743097422164 -60.057590202580684 -332.5421407991561 1 2 1
710 2 3 -236.9077689411448 -58.180682203953054 -331.6050748017517 1 2 1
1065 2 3 -203.03648642234225 -57.593365291321106 -331.63020125260584 1 1 0
3083 4 1 -122.80134210662348 -47.99626445219582 -327.85423442872366 3 3 1
1554 4 1 85.11931652912969 -48.010001815565545 -333.698949548571 -2 -1 1
2579 4 1 -134.45014494854587 -37.678704389456925 -328.8100061026323 1 0 1
1441 3 -2 -268.73348064342053 -26.73613928056568 -328.77848532815784 3 2 0
1066 2 3 -266.74368621538116 -27.163681078443233 -328.3680855001058 3 2 0
2909 4 1 -271.1180863991799 -26.827451998313506 -328.77929449758585 -1 1 1
1573 4 1 124.69805262288659 -20.495531532518527 -330.1616238171085 1 2 0
3010 4 1 -98.18894568304557 -11.209763739766771 -328.5987709972666 1 0 1
114 1 2 54.97581472942764 -13.942815406435727 -331.6512281772259 -1 0 1
3411 4 1 31.092406919387457 -6.685536530938947 -327.8367581383545 -1 0 1
1944 4 1 -175.84484547527296 -180.12984673434073 -322.92312887004886 0 1 0
415 1 2 99.53438251883594 -177.571856265161 -324.8496337657653 -1 -1 0
3118 4 1 -80.50629625513861 -167.50777672962502 -322.00107676847506 1 2 0
2578 4 1 86.86061786484927 -159.48338760033147 -325.5423989798967 -5 -2 1
5 1 2 -232.9810370020652 -124.57383492461025 -325.95501248869857 3 -1 0
1812 4 1 36.489692682823915 -118.92042873498141 -324.15968468632286 0 1 1
771 2 3 157.97722281461742 -81.43517990684435 -321.9196005545432 0 1 0
1271 3 -2 158.27323786282753 -83.55492038885144 -321.8997088555535 0 1 0
646 2 3 158.56528007128586 -85.67418536328171 -321.8874799505174 0 1 0
58 1 2 63.25570400588103 -74.98430282298743 -321.5288849958104 -1 0 0
1508 4 1 116.23329252622298 -65.17385204301745 -324.8292562210796 0 2 0
1725 4 1 -84.0677599599601 -58.21042353912874 -323.22013986970927 1 1 1
1087 2 3 -160.16790404840694 -46.84561870778839 -324.16472691344467 0 0 0
372 1 2 -132.3427404623862 -24.487738887904158 -322.1682213636865 1 2 0
3325 4 1 -305.8217777530872 -10.817653156707706 -324.103061146648 0 1 2
2721 4 1 -307.508292462442 3.9445462328091594 -324.52645805989897 -2 1 0
1372 3 -2 -51.32732296533092 2.926658893732764 -321.7445842606031 0 0 0
872 2 3 -52.625657867906085 3.447888296788136 -323.3715965317919 0 0 0
747 2 3 -50.04457767188805 2.399922968038112 -320.1082506642764 0 0 0
2638 4 1 -20.244203266018445 6.7031515568772875 -325.01258058375976 1 2 -1
3200 4 1 -7.897797647560054 -171.5662993726922 -312.89029295841675 2 1 1
