Generated by pymatgen.io.lammps.data.LammpsData

3000  atoms

   4  atom types

0.000000 26.839531  xlo xhi
0.000000 30.911487  ylo yhi
0.000000 37.891080  zlo zhi
0.033593 -13.348165 -7.706166  xy xz yz

Masses

1   6.9410
2  51.9961
3  55.8450
4  15.9994

Atoms

123   1  0.5250   9.849655 -1.089848 12.065977
124   4 -1.0500  11.073536  4.979856  6.361224
125   1  0.5250   4.800747  6.019952  7.042923
126   4 -1.0500   5.357007  6.252551  4.769544
127   4 -1.0500   7.291861 -2.280507 12.334262
128   1  0.5250   7.528406 -1.093276  5.531911
129   2  1.5750  11.112922  2.883311  7.699086
130   1  0.5250   5.551077  6.331876  2.216938
131   4 -1.0500   9.188033  6.464104  9.206354
132   1  0.5250   7.566166  0.755412 12.559286
133   4 -1.0500  22.293945  6.718979 11.903691
134   4 -1.0500  11.737396  0.557893  4.586759
135   4 -1.0500  12.722705  4.195171  2.017817
136   1  0.5250  11.959351  2.099384  2.968199
137   1  0.5250  16.427458  3.398855  2.812730
138   1  0.5250  13.064770  1.926175 10.818638
139   1  0.5250  17.637884  1.483995  3.637397
140   1  0.5250  13.221022 -1.164409  9.869879
141   1  0.5250  14.550661  4.347634 11.229852
142   1  0.5250  15.312738  4.648178  8.763461
143   1  0.5250  12.947686  1.991817  0.878478
144   1  0.5250  15.242318 -0.746736  8.722072
145   1  0.5250  12.222169  4.127070  4.229129
146   1  0.5250  15.053043  0.268474  6.494378
147   1  0.5250  15.089718  5.156565  6.129523
148   1  0.5250  16.029164  2.589450  5.235611
149   2  1.5750  13.466831  0.181696  2.735373
150   2  1.5750  11.781772  0.842806  8.906333
151   2  1.5750  17.070855  0.541439  9.753738
152   2  1.5750  15.046622  2.986910  0.584177
153   2  1.5750  13.481118 -0.701243  5.233533
154   3  1.5750  14.933409  4.956074  1.725351
155   3  1.5750  17.712142  3.015000  9.411017
156   3  1.5750  14.462711  0.493443  0.400521
157   3  1.5750  17.270952 -0.872830  7.589940
158   3  1.5750  17.690458  5.299907  9.052527
159   3  1.5750  14.750807  2.946385  7.106099
160   4 -1.0500  13.720958  2.025584  4.817839
161   4 -1.0500  18.036900  5.102452  2.333224
162   4 -1.0500  12.835912  1.428374  6.666846
163   4 -1.0500  17.434294  0.372212  5.769491
164   4 -1.0500  14.497345  4.244885  4.100368
165   4 -1.0500  15.419493  0.498052  4.084219
166   4 -1.0500  12.223310  4.280120 10.883036
167   4 -1.0500  14.311377  2.373036  2.754360
168   4 -1.0500  15.408423  2.674794  9.941523
169   4 -1.0500  16.814861  4.289616  0.321614
170   4 -1.0500  13.346596  3.454341  8.898527
171   4 -1.0500  12.822266  3.702147  6.305585
172   4 -1.0500  17.155220  4.619745  4.849429
173   4 -1.0500  16.149641  1.018384  1.883185
174   4 -1.0500  14.077011  1.211871  8.802251
175   4 -1.0500  12.920142 -0.792709  7.534612
176   4 -1.0500  18.356051  1.474695  7.781211
177   4 -1.0500  16.217440  1.551903  7.890352
178   3  1.5750  16.964876  3.851621  7.214681
179   4 -1.0500  18.016443  2.579035  1.329855
180   4 -1.0500  18.306717  2.631783  5.729828
181   3  1.5750  16.689456  2.022745 11.841108
182   4 -1.0500  15.001100 -2.064987 11.225295
183   4 -1.0500  11.292166 -2.141723 10.582386
184   4 -1.0500  14.782926  0.463718 10.972868
