Generated by pymatgen.io.lammps.data.LammpsData

3000  atoms

   4  atom types

0.000000 25.838570  xlo xhi
0.000000 29.758665  ylo yhi
0.000000 36.477960  zlo zhi
0.032340 -12.850355 -7.418770  xy xz yz

Masses

1   6.9410
2  51.9961
3  55.8450
4  15.9994

Atoms

126   1  0.5250   1.310226  0.754366  3.655777
127   1  0.5250  -1.259845 -0.729388 10.951369
128   1  0.5250  -3.829916 -2.213142 18.246961
129   1  0.5250  -6.399987 -3.696896 25.542553
130   1  0.5250  -8.970058 -5.180650 32.838145
131   1  0.5250   1.316694  6.706099  3.655777
132   1  0.5250  -1.253377  5.222345 10.951369
133   1  0.5250  -3.823448  3.738591 18.246961
134   1  0.5250  -6.393519  2.254837 25.542553
135   1  0.5250  -8.963590  0.771083 32.838145
136   1  0.5250   1.323162 12.657832  3.655777
137   1  0.5250  -1.246909 11.174078 10.951369
138   1  0.5250  -3.816980  9.690324 18.246961
139   1  0.5250  -6.387051  8.206570 25.542553
140   1  0.5250  -8.957122  6.722816 32.838145
141   1  0.5250   1.329630 18.609565  3.655777
142   1  0.5250  -1.240441 17.125811 10.951369
143   1  0.5250  -3.810512 15.642057 18.246961
144   1  0.5250  -6.380583 14.158303 25.542553
145   1  0.5250  -8.950654 12.674549 32.838145
146   1  0.5250   1.336098 24.561298  3.655777
147   1  0.5250  -1.233973 23.077544 10.951369
148   1  0.5250  -3.804044 21.593790 18.246961
149   1  0.5250  -6.374115 20.110036 25.542553
150   1  0.5250  -8.944186 18.626282 32.838145
151   1  0.5250   6.477940  0.754366  3.655777
152   1  0.5250   3.907869 -0.729388 10.951369
153   1  0.5250   1.337798 -2.213142 18.246961
154   1  0.5250  -1.232273 -3.696896 25.542553
155   1  0.5250  -3.802344 -5.180650 32.838145
156   1  0.5250   6.484408  6.706099  3.655777
157   1  0.5250   3.914337  5.222345 10.951369
158   1  0.5250   1.344266  3.738591 18.246961
159   1  0.5250  -1.225805  2.254837 25.542553
160   1  0.5250  -3.795876  0.771083 32.838145
161   1  0.5250   6.490876 12.657832  3.655777
162   1  0.5250   3.920805 11.174078 10.951369
163   1  0.5250   1.350734  9.690324 18.246961
164   1  0.5250  -1.219337  8.206570 25.542553
165   1  0.5250  -3.789408  6.722816 32.838145
166   1  0.5250   6.497344 18.609565  3.655777
167   1  0.5250   3.927273 17.125811 10.951369
168   1  0.5250   1.357202 15.642057 18.246961
169   1  0.5250  -1.212869 14.158303 25.542553
170   1  0.5250  -3.782940 12.674549 32.838145
171   1  0.5250   6.503812 24.561298  3.655777
172   1  0.5250   3.933741 23.077544 10.951369
173   1  0.5250   1.363670 21.593790 18.246961
174   1  0.5250  -1.206401 20.110036 25.542553
175   1  0.5250  -3.776472 18.626282 32.838145
176   1  0.5250  11.645654  0.754366  3.655777
177   1  0.5250   9.075583 -0.729388 10.951369
178   1  0.5250   6.505512 -2.213142 18.246961
179   1  0.5250   3.935441 -3.696896 25.542553
180   1  0.5250   1.365370 -5.180650 32.838145
181   1  0.5250  11.652122  6.706099  3.655777
182   1  0.5250   9.082051  5.222345 10.951369
183   1  0.5250   6.511980  3.738591 18.246961
184   1  0.5250   3.941909  2.254837 25.542553
185   1  0.5250   1.371838  0.771083 32.838145
186   1  0.5250  11.658590 12.657832  3.655777
187   1  0.5250   9.088519 11.174078 10.951369
188   1  0.5250   6.518448  9.690324 18.246961
189   1  0.5250   3.948377  8.206570 25.542553
190   1  0.5250   1.378306  6.722816 32.838145
191   1  0.5250  11.665058 18.609565  3.655777
